key,field,value,evidence_type,evidence,pdf_file,page,section,note
wilder2019melding,oracle,none,absence,grep -i over text/Wilder2019_MeldingDataDecisions.txt: 'regret' 0 hits; 'hindsight' 0; 'denominator' 0; 'percent' 0; 'relative' 1 (approximation guarantee relative to ...); 'normaliz' 1 (normalized f(empty)=0); 'ratio' 10 (all 'approximation ratio' or inside 'iterations'); 'objective value' 2; 'solution quality' 9. Read Experiments section in full (pp. 5-7) and Table 1 (p. 6): only raw objective values and a Random baseline are reported; no optimal/oracle row.,Wilder2019_MeldingDataDecisions.pdf,6,Experiments,"Absence of any regret; supports oracle=none, denominator=none/raw, formula_stated."
wilder2019melding,denominator,raw,quote,Each value is the mean (over the 30 iterations) and,Wilder2019_MeldingDataDecisions.pdf,6,Experiments -- Solution quality,"Raw objective values (e.g. 49.18 customers reached, 2.50 matches); no normalization. Next line: 'a bootstrapped 95% confidence interval.' Under the schema this could equally be coded 'none' since no regret is reported; audit.csv says raw."
wilder2019melding,aggregation,mean,quote,a bootstrapped 95% confidence interval.,Wilder2019_MeldingDataDecisions.pdf,6,Experiments -- Solution quality,Preceded by 'Each value is the mean (over the 30 iterations) and'. Means over 30 random 80/20 splits of instances; also p. 6: 'All results are averaged over 30 random splits.'
wilder2019melding,aggregation,mean,quote,20% test. All results are averaged over 30 random splits. Our,Wilder2019_MeldingDataDecisions.pdf,6,Experiments -- Algorithms and experimental setup,
wilder2019melding,noise,real,quote,Our experiments use the cora dataset (Sen et al. 2008).,Wilder2019_MeldingDataDecisions.pdf,6,Experiments -- Bipartite matching,Bipartite matching (the only LP experiment) uses real citation data; labels are real edges.
wilder2019melding,noise,real,quote,on the Movielens dataset (GroupLens 2011) in which 2113,Wilder2019_MeldingDataDecisions.pdf,6,Experiments -- Diverse recommendation,Diverse recommendation (submodular) uses real Movielens data.
wilder2019melding,noise,real,quote,"The next two domains, both based on real data, explore low-",Wilder2019_MeldingDataDecisions.pdf,7,Experiments -- Solution quality,"Paper itself labels matching and recommendation as real-data domains, in contrast to the 'synthetic' budget-allocation domain."
wilder2019melding,noise,mixed,quote,Budget allocation: We start with a synthetic domain,Wilder2019_MeldingDataDecisions.pdf,5,Experiments -- Budget allocation,"The budget-allocation domain (submodular, not linear) is semi-synthetic: ground-truth theta drawn from Yahoo webscope edges with theta_uv ~ U[0,0.2], features y_u = fixed random 5-layer ReLU net applied to theta_u (deterministic in theta, i.e. noiseless given features). Supports 'mixed' if all three experiments are considered; 'real' if only the linear (matching) experiment is."
wilder2019melding,noise,mixed,quote,"the dataset, we sample θuv uniformly at random in [0,0.2].",Wilder2019_MeldingDataDecisions.pdf,5,Experiments -- Budget allocation,Preceded by 'generated using the Yahoo webscope (Yahoo 2007) dataset'.
wilder2019melding,noise,mixed,quote,work with random weight matrices and ReLU activations to,Wilder2019_MeldingDataDecisions.pdf,5,Experiments -- Budget allocation,Features are a deterministic nonlinear function of theta_u: 'theta_u is passed through a 5-layer neural net- work with random weight matrices and ReLU activations to obtain a feature vector y_u.'
wilder2019melding,synthetic,no,quote,"formulated as a linear program, allowing us to apply our",Wilder2019_MeldingDataDecisions.pdf,5,Experiments -- Bipartite matching,Only the bipartite-matching experiment is an LP (linear setting); it uses real cora data. Budget allocation and diverse recommendation are submodular maximization (outside the linear setting).
wilder2019melding,synthetic,no,quote,signal settings where highly accurate recovery is impossible.,Wilder2019_MeldingDataDecisions.pdf,7,Experiments -- Solution quality,"Preceded by 'The next two domains, both based on real data, explore low-'. Matching and recommendation are real; the only synthetic domain (budget allocation) is submodular. synthetic=no holds if restricted to linear experiments; would be 'yes' if the submodular budget-allocation experiment counts."
wilder2019melding,synthetic,no,quote,fact that the features in this synthetic domain are very high-,Wilder2019_MeldingDataDecisions.pdf,7,Experiments -- Solution quality,Paper calls budget allocation 'this synthetic domain'. Evidence for the alternative reading synthetic=yes (if non-linear experiments count).
wilder2019melding,contaminated,no,absence,"Read pp. 5-7 (Experiments, Tables 1-2, discussion) in full. Every conclusion about Table 1 is a method ranking within one domain and one k (e.g. 'at least 37% greater objective value', 'nearly over 70% more matches than the next best method', 'NN2-2Stage trails by 23%'). Budget k is varied (5,10,20) but no sentence compares objective values across k, across domains, or across training-set sizes; no normalized metric is reported whose magnitude could be read as headroom. grep -i 'increas' / 'larger' / 'as k' in the experiments pages yields no cross-regime comparison of the metric.",Wilder2019_MeldingDataDecisions.pdf,7,Experiments,"Closest borderline sentence (p. 7): 'Both 1-layer models perform ex- tremely poorly, indicating that the more complex learning problem requires a more expressive model class.' -- a qualitative remark about model class in a harder domain, not a comparison of the metric across DGPs. See notes."
wilder2019melding,contaminated,no,quote,"tremely poorly, indicating that the more complex learning",Wilder2019_MeldingDataDecisions.pdf,7,Experiments -- Solution quality,"Borderline sentence: attributes the failure of 1-layer models on matching to the matching problem being harder than budget allocation. Method-class conclusion, not a cross-regime reading of the metric; flagged as a judgement call."
wilder2019melding,contaminated,no,quote,fact that the features in this synthetic domain are very high-,Wilder2019_MeldingDataDecisions.pdf,7,Experiments -- Solution quality,Second borderline sentence: explains RF-2Stage tying NN1-Decision on budget allocation by the synthetic domain's high-signal features vs. the real-data low-signal domains. Explains a within-domain ranking by a DGP property; does not compare the metric's value across domains.
wilder2019melding,formula_stated,partial,quote,jective value of its decision evaluated using the true param-,Wilder2019_MeldingDataDecisions.pdf,6,Experiments -- Solution quality,"Precise verbal definition of what is reported (objective value under true parameters), but no regret is defined and no formula is written for the reported quantity; hence 'partial'."
elbalghiti2019generalization,oracle,none,quote,"A decision is made with respect to the predicted cost vector, and the SPO loss is computed by evaluating the decision on the true cost vector and then subtracting the optimal cost assuming knowledge of the true cost vector.",ElBalghiti2019_GeneralizationBounds.pdf,2,1. Introduction,"The theoretical object (SPO loss) is a look-ahead-type regret against the realized cost vector, but no regret value is ever reported experimentally, so reported oracle = none."
elbalghiti2019generalization,setting,no experimental metric (rule 3: theory only),quote,"In this work, we seek to provide bounds on how well the performance of a prediction model fit on training data generalizes out-of-sample, in the context of the SPO loss. Since the SPO loss is non-convex and non-Lipschitz, standard results for deriving generalization bounds do not apply.",ElBalghiti2019_GeneralizationBounds.pdf,1,Abstract,Abstract states a purely theoretical aim; no experiments are announced anywhere.
elbalghiti2019generalization,setting,no experimental metric (rule 3: theory only),quote,"Our work extends learning theory, as developed for binary and multiclass classification, to predict-then-optimize problems in two very significant directions: (i) obtaining worst-case generalization bounds using combinatorial parameters that measure the capacity of function classes, and (ii) exploiting special structure in data by deriving margin-based generalization bounds that scale more gracefully w.r.t. problem dimensions.",ElBalghiti2019_GeneralizationBounds.pdf,27,6. Conclusions and Future Directions,Conclusions summarize only theoretical contributions (Theorems 1-8).
elbalghiti2019generalization,setting,no experimental metric (rule 3: theory only),absence,"Protocol: grepped whole-paper text (35 pages) for 'experiment' (0 hits), 'simulat' (0), 'benchmark' (0), 'dataset'/'data set' (1 hit, 'training data set' in the model setup on p6), 'numerical' (1 hit, 'numerical values of the cost vectors', not an experiment), 'Table' followed by a digit (0 hits; the paper has no tables), 'Figure' (1 hit: Figure 1, a geometric illustration of distance to degeneracy, p14), 'regret' (1 hit, in the literature review). Section headings are 1 Introduction, 2 Predict-then-Optimize Framework, 3 Generalization Bounds Based on Multiclass Classification, 4 Margin-based Generalization Bounds, 5 Applications to Strongly Convex and Polyhedral Sets, 6 Conclusions and Future Directions, Appendices A-D (proofs). Read in full: abstract, Section 1 (pp1-4), Section 6 (p27). No experimental section exists.",ElBalghiti2019_GeneralizationBounds.pdf,1-27,whole paper,"The paper does NOT belong in Table 1: no experiments, no reported regret. Exclusion under rule 3 is supported."
elmachtoub2020decision,metric_name,normalized extra travel time,quote,"The decisions are scored on a held out set of data using the metric of “normalized extra travel time”, defined as the cumulative SPO loss normalized by the cumulative optimal decision",ElmachtoubLiangMcNellis2020_SPOTrees.pdf,10,3.1 An Illustrative Example,Sentence continues on p. 11 with 'costs.' and the formula. Same name used in Sec. 5.1 (Figs. 3-4).
elmachtoub2020decision,metric_name,normalized extra travel time,quote,"Algorithmic performance on the test set is assessed with respect to normalized extra travel time defined in Section (3.1), which is equivalent to (normalized) SPO loss.",ElmachtoubLiangMcNellis2020_SPOTrees.pdf,18,5.1 Noisy Shortest Path,Also called '(normalized) SPO loss' / 'SPO loss' / 'decision error' in the text.
elmachtoub2020decision,oracle,LA,quote,"Mathematically, SPO loss measures the excess cost cT w∗ (ĉ) − z ∗ (c) incurred from making the (potentially) sub-optimal decision w∗ (ĉ) implied by prediction ĉ when the true cost is c.",ElmachtoubLiangMcNellis2020_SPOTrees.pdf,6,2. The Predict-then-Optimize Framework,z*(c) is the optimum for the realized cost vector c of each instance -> look-ahead (full-information) oracle.
elmachtoub2020decision,oracle,LA,equation,"Therefore, Elmachtoub and Grigas (2017) define SPO loss with respect to the worst-case decision from a predicted cost vector ĉ, defined mathematically below: :: Eq. (2): ℓ_SPO(ĉ, c) := max_{w ∈ W*(ĉ)} {c^T w} − z*(c)",ElmachtoubLiangMcNellis2020_SPOTrees.pdf,7,2. The Predict-then-Optimize Framework,Per-instance regret against the realized-cost optimum z*(c).
elmachtoub2020decision,denominator,oracle_cost,equation,"Unsurprisingly, the SPO Tree achieves zero decision error at all training depths since it correctly identified the decision boundary at depth 1. :: unnumbered display at top of p. 11: sum_{i=1}^{n} ℓ_SPO(ĉ_i, c_i) / sum_{i=1}^{n} z*(c_i)",ElmachtoubLiangMcNellis2020_SPOTrees.pdf,11,3.1 An Illustrative Example,The display immediately precedes this sentence; the preceding prose (p. 10) reads '... the cumulative SPO loss normalized by the cumulative optimal decision costs.' Denominator = sum of oracle (realized-optimal) costs over the test set.
elmachtoub2020decision,aggregation,ratio_of_sums,quote,"The decisions are scored on a held out set of data using the metric of “normalized extra travel time”, defined as the cumulative SPO loss normalized by the cumulative optimal decision",ElmachtoubLiangMcNellis2020_SPOTrees.pdf,10,3.1 An Illustrative Example,"'cumulative ... normalized by the cumulative ...' = sum of regrets over sum of oracle costs (ratio of sums), confirmed by the formula on p. 11."
elmachtoub2020decision,noise,yes,quote,"and εki are multiplicative i.i.d. noise terms sampled from U nif orm([1 − ε̄, 1 + ε̄]) for some parameter ε̄ ≥ 0.",ElmachtoubLiangMcNellis2020_SPOTrees.pdf,18,5.1 Noisy Shortest Path,"Synthetic shortest-path DGP (Elmachtoub & Grigas 2017) with multiplicative noise; ε̄ ∈ {0, 0.25} for n=200 and {0, 0.5} for n=10000, so half of the panels are noiseless (ε̄ = 0). A literal reading of the rubric gives 'mixed'; see notes."
elmachtoub2020decision,noise,yes,quote,We first study the empirical performance of SPO Trees and SPO Forests on a synthetic dataset for the shortest path problem studied in Elmachtoub and Grigas (2017).,ElmachtoubLiangMcNellis2020_SPOTrees.pdf,18,5.1 Noisy Shortest Path,
elmachtoub2020decision,noise,yes,quote,We also examine the performance of the SPO Trees and benchmark algorithms on a real dataset.,ElmachtoubLiangMcNellis2020_SPOTrees.pdf,22,5.2 News Article Recommendation,"The real-data experiment (Yahoo! Front Page) reports average click probability (objective value), not the normalized regret; so the regret-reporting experiments are all synthetic."
elmachtoub2020decision,synthetic,yes,quote,We first study the empirical performance of SPO Trees and SPO Forests on a synthetic dataset for the shortest path problem studied in Elmachtoub and Grigas (2017).,ElmachtoubLiangMcNellis2020_SPOTrees.pdf,18,5.1 Noisy Shortest Path,"All 'normalized extra travel time' results (Figs. 2d, 3, 4) are on this synthetic DGP."
elmachtoub2020decision,contaminated,yes,quote,"In particular, the greedy SPOT algorithm achieves percentage improvements in normalized extra travel time over the CART algorithm of 26.7%, 26.8%, 23.1%, and 23.6% when both are trained to depths of 1, 2, 3, and unrestricted depth, respectively (with the above percentage improvements averaged across the four combinations of deg and ¯).",ElmachtoubLiangMcNellis2020_SPOTrees.pdf,20,5.1 Noisy Shortest Path,"Pools the normalized metric across the four (deg, ε̄) DGP regimes into one headline improvement figure ('¯' is pdftotext's rendering of ε̄)."
elmachtoub2020decision,contaminated,yes,quote,forests of SPO Trees consistently outperform forests of CART trees by 20.5% averaged across the four parameter settings,ElmachtoubLiangMcNellis2020_SPOTrees.pdf,20,5.1 Noisy Shortest Path,Same pooling across DGP regimes for the forest comparison.
elmachtoub2020decision,contaminated,yes,quote,"Therefore, CART is eventually able to achieve highly accurate predictions – and therefore near-optimal decisions – as its depth increases.",ElmachtoubLiangMcNellis2020_SPOTrees.pdf,22,5.1 Noisy Shortest Path,"Reads the magnitude of the normalized metric (approaching 0) as 'near-optimal', i.e. as remaining headroom; and the n=200 vs n=10000 narrative ('The failure of CART ... coupled with the limited amount of training data', p. 20) draws a conclusion across training-set sizes."
elmachtoub2020decision,contaminated,yes,quote,We also increase the level of noise from ε̄ = 0.25 to ε̄ = 0.5 to make the estimation problem more challenging for the algorithms given the increased amount of data.,ElmachtoubLiangMcNellis2020_SPOTrees.pdf,22,5.1 Noisy Shortest Path,"Noise level and n are changed together between the two experiments; results are then contrasted ('As in the previous set of experiments ... However, when the training depths increase to six or more, CART begins to achieve comparable performance')."
elmachtoub2020decision,formula_stated,yes,equation,"Unsurprisingly, the SPO Tree achieves zero decision error at all training depths since it correctly identified the decision boundary at depth 1. :: unnumbered display at top of p. 11: sum_{i=1}^{n} ℓ_SPO(ĉ_i, c_i) / sum_{i=1}^{n} z*(c_i)",ElmachtoubLiangMcNellis2020_SPOTrees.pdf,11,3.1 An Illustrative Example,Formula for the reported normalized metric is written explicitly (numerator Eq. (2) on p. 7; ratio on p. 11).
pogancic2020differentiation,metric_name,accuracy (% of predictions with optimal cost); no regret reported,quote,"the accuracy, i.e. percentage of paths with the optimal costs.",Pogancic2020_BlackboxSolvers.pdf,7,4.1 Warcraft Shortest Path / Table 2 caption,"Table 2 caption (two-column interleaving splits it): 'Reported is the accuracy, i.e. percentage of paths with the optimal costs.' The reported metric is an indicator (percent optimal), not a regret."
pogancic2020differentiation,metric_name,accuracy (% of predictions with optimal cost); no regret reported,quote,"same cost), we report the percentage",Pogancic2020_BlackboxSolvers.pdf,7,4.1 Warcraft Shortest Path,"Full sentence (split across interleaved lines): 'Since the shortest paths in the maps are often nonunique (i.e. there are multiple shortest paths with the same cost), we report the percentage of shortest path predictions that have optimal cost.'"
pogancic2020differentiation,metric_name,accuracy (% of predictions with optimal cost); no regret reported,absence,"Grepped whole-paper text Pogancic2020_BlackboxSolvers.txt for 'regret' (0 hits) and 'cost ratio' (0). The loss trained on is Hamming distance to the label ('The loss used for computing the gradient update is the Hamming distance between the true shortest path and the predicted shortest path', p.7); reported metrics are 'accuracy, i.e. percentage of paths with the optimal costs' (Table 2, p.7), 'the full tour accuracy' (Table 3, p.8), 'the accuracy of predicting an optimal matching' (Table 4, p.8). No regret-like or objective-value metric anywhere.",Pogancic2020_BlackboxSolvers.pdf,7;8,4 Experiments,
pogancic2020differentiation,noise,none,quote,The costs for the different terrain types range from 0.8–9.2.,Pogancic2020_BlackboxSolvers.pdf,17,A.3.1 Warcraft Shortest Path,"Appendix confirms the fixed terrain-type costs (142 tiles, costs 0.8-9.2): deterministic Y given X."
pogancic2020differentiation,setting,"noiseless synthetic tasks; reports % optimal, not a regret",quote,"To that end, we solve three synthetic tasks as listed in Tab. 1.",Pogancic2020_BlackboxSolvers.pdf,6,4 Experiments,"All experiments (Warcraft shortest path, Globe TSP, MNIST min-cost perfect matching) are synthetic constructions with deterministic labels."
pogancic2020differentiation,setting,"noiseless synthetic tasks; reports % optimal, not a regret",quote,The maps have an underlying grid of dimension k × k where each vertex represents a terrain with a fixed cost that is unknown to the network. The shortest (minimum cost) path between top left and bottom right vertices is encoded as an indicator matrix and serves as a label (see also Fig. 4).,Pogancic2020_BlackboxSolvers.pdf,6,4.1 Warcraft Shortest Path,"Fixed terrain costs: y (the cost vector) is a deterministic function of the input image, so the DGP is noiseless (rule 4) -- the LA and TM oracles coincide."
pogancic2020differentiation,setting,"noiseless synthetic tasks; reports % optimal, not a regret",quote,"For computing the label, we consider the underlying k × k grid graph (without diagonal edges) and solve a MIN - COST- PERFECT- MATCHING problem, where edge weights are given simply by reading the two vertex digits as a two-digit number (we read downwards for vertical edges and from left to right for horizontal edges).",Pogancic2020_BlackboxSolvers.pdf,8,4.3 MNIST Min-Cost Perfect Matching,Matching-digits construction: edge costs are a deterministic function of the MNIST digits in the image; the only 'uncertainty' is recognising the digits.
berthet2020learning,metric_name,cost ratio to optimal path; perfect accuracy %; Spearman correlation,quote,We show two metrics: perfect accuracy percentage and cost ratio to optimal path (see Figure 6); full implementation details are in Appendix C.3.,Berthet2020_PerturbedOptimizers.pdf,11,5.3 Perturbed shortest path,What the shortest-path experiment reports: an indicator (% optimal) and a cost ratio -- not a regret difference.
berthet2020learning,metric_name,cost ratio to optimal path; perfect accuracy %; Spearman correlation,quote,Figure 6: Accuracy of the predicted path for several methods during training. Left. Percentage of test instances where the predicted path is optimal. Right. Ratio of costs between the predicted path and the actual shortest path – without the squared loss baseline as it does not yield valid paths.,Berthet2020_PerturbedOptimizers.pdf,11,Figure 6 caption,The ratio is achieved path cost over the realized-cost optimum (LA oracle; audit denominator 'true_sp_cost').
berthet2020learning,metric_name,cost ratio to optimal path; perfect accuracy %; Spearman correlation,quote,We report Spearman’s correlation (higher is better) in Figure 3. Results are averaged over 10-fold CV and parameters tuned by 5-fold CV.,Berthet2020_PerturbedOptimizers.pdf,10,5.2 Perturbed label ranking,Label ranking reports Spearman's correlation; Figure 4 (p.10) reports 'Average number of instances with exactly correct ranks for all 100 labels'. Sec. 5.1 (CIFAR-10) reports classification accuracy. Grep 'regret' in the whole-paper text: 0 hits.
berthet2020learning,oracle,LA,quote,Ratio of costs between the predicted path,Berthet2020_PerturbedOptimizers.pdf,11,Figure 6 caption,'... and the actual shortest path': the comparison point is the optimum for the realized (fixed) costs. In a noiseless DGP the LA and TM oracles coincide; recorded for completeness since the audit row carries oracle = LA.
berthet2020learning,noise,none,quote,"Figure 5: In the shortest path experiment, training features are images. Shortest paths are computed based on terrain costs, hidden to the network. Training responses are shortest paths based on this cost.",Berthet2020_PerturbedOptimizers.pdf,11,Figure 5 caption,"Deterministic terrain-type costs (inherited from Vlastelica et al. 2019, where tile costs are fixed in 0.8-9.2)."
berthet2020learning,noise,none,quote,"To better understand the complexity of this task, we also created a range of artificial datasets where 100 labels are generated by yi “ arg maxy xxJi w0 ` σZi , yy, in dimension 50, for different values of σ.",Berthet2020_PerturbedOptimizers.pdf,10,5.2 Perturbed label ranking,"CAVEAT: this artificial label-ranking DGP DOES carry data noise (σ Z_i in the labels), and p.10 speaks of 'robustness to the noise'. But that experiment reports only Spearman correlation and perfect-rank percentages, not a regret or objective value, so noise = none still holds for the regret-reporting experiment (Warcraft). Recorded because the claim 'every mention of noise in this paper is the method's perturbation' is not quite true -- see notes."
berthet2020learning,setting,rule 4: the only regret-like metric is on the noiseless Warcraft shortest-path replication,quote,"We replicate the experiment of Vlastelica et al. (2019), aiming to learn the travel costs in graphs based on features, given examples of shortest path solutions (see Figure 5). We use a dataset of 10,000 RGB images of size 96 ˆ 96 illustrating Warcraft terrains of 12 ˆ 12 2D grid networks.",Berthet2020_PerturbedOptimizers.pdf,10,5.3 Perturbed shortest path,Same Warcraft SP(12) data as Vlastelica/Pogancic et al. (2019) = pogancic2020differentiation.
berthet2020learning,setting,rule 4: the only regret-like metric is on the noiseless Warcraft shortest-path replication,quote,"responses yi are a shortest path between the top-left and bottom-right corners, for costs hidden to the network, corresponding to the terrain type. They are 12 ˆ 12 binary matrices representing the vertices along the shortest path.",Berthet2020_PerturbedOptimizers.pdf,10,5.3 Perturbed shortest path,"Costs are hidden but fixed per terrain type: y is a deterministic function of the image, so the DGP is noiseless and LA = TM."
mandi2020smart,metric_name,regret,quote,In Table 1 we present both the MSE-loss of the predictions and the regret attained by using the predictions.,MandiGuns2020_InteriorPoint.pdf,7,4 Experiments -- Knapsack formulation of real estate investments,Tables 1-4 label the row 'Regret' (Table 1: 'Regret (x10^4)').
mandi2020smart,oracle,LA,quote,"For an (MI)LP problem, the cost of using predicted ĉ instead of ground-truth c is measured by regret(ĉ, c; A, b) = c> x∗ (ĉ; A, b) − x∗ (c; A, b) ; that is, the difference in value when optimizing over the predictions ĉ instead of the actual values c.",MandiGuns2020_InteriorPoint.pdf,3,2 Problem Description -- Regret,"Regret is against x*(c; A, b), the optimum for the realized (ground-truth) cost vector c of the instance -> look-ahead oracle. (The typeset formula reads c^T(x*(ĉ) − x*(c)); pdftotext dropped the c^T factor on the second term.)"
mandi2020smart,oracle,LA,quote,"Training is carried out over the relaxed problem, but we evaluate the objective and the regret on the test data by solving the discrete MILP to optimality.",MandiGuns2020_InteriorPoint.pdf,6,4 Experiments,Test-time regret computed with the true test costs and the exact MILP optimum.
mandi2020smart,denominator,raw,quote,"Table 1: Comparison among approaches for the Knapsack Problem. Maximisation problem, number between brackets is standard deviation across 10 runs.",MandiGuns2020_InteriorPoint.pdf,7,4 Experiments -- Table 1,Regret reported in raw objective units (Table 1 'Regret (x10^4)'; Table 2 regret 10774-13652 in energy-cost units; Table 4 regret 92-322). No normalization anywhere.
mandi2020smart,denominator,raw,absence,"grep -i over text/MandiGuns2020_InteriorPoint.txt: 'regret' 17 hits (all raw regret, definition on p. 3 and Tables 1-4); 'normaliz' 0; 'percent' 0; 'divid' 0; 'denominator' 0; 'relative' 1 (in 'relatively few errors'); 'ratio' 14 (all inside 'iteration(s)'/'integration'/'Operations Research'). Read Sec. 2 (regret definition, p. 3), Sec. 4 Experiments in full (pp. 6-9) and Appendix A.4 (p. 14). No normalized or relative regret is ever mentioned.",MandiGuns2020_InteriorPoint.pdf,7,4 Experiments,Supports denominator=raw and formula_stated=yes (raw regret is exactly the defined quantity).
mandi2020smart,aggregation,mean,quote,Table 4 presents average MSE-loss and regrets ob- tained on the test instances.,MandiGuns2020_InteriorPoint.pdf,8,4 Experiments -- Shortest path problem,Only explicit aggregation statement: average regret over test instances (Table 4). Tables 1-2 do not say whether regret is summed or averaged over test instances; brackets give SD across 10 runs (p. 7).
mandi2020smart,aggregation,mean,quote,"Table 1: Comparison among approaches for the Knapsack Problem. Maximisation problem, number between brackets is standard deviation across 10 runs.",MandiGuns2020_InteriorPoint.pdf,7,4 Experiments -- Table 1,Second level of aggregation: mean and SD across 10 training runs.
mandi2020smart,noise,real,quote,"We use the dataset of Rafiei and Adeli [26], which comprises of two sets of features: a) the physical and financial properties of the housings; and b) the economic variables to gauge the state of the real estate market.",MandiGuns2020_InteriorPoint.pdf,7,4 Experiments -- Knapsack formulation of real estate investments,Experiment 1 (knapsack): real housing-price data.
mandi2020smart,noise,real,quote,The energy price data is taken from the Irish Single Electricity Market Operator (SEMO) [15]. It consists of historical energy price data at 30-minute intervals from 2011-2013.,MandiGuns2020_InteriorPoint.pdf,7,4 Experiments -- Energy-cost aware scheduling,Experiment 2 (energy scheduling): real SEMO day-ahead price data as the target.
mandi2020smart,noise,mixed,quote,"To generate feature-correlated edge weights, we use a random network approach inspired by [29]: we construct a random 3-layer network that receives a concatenation of the node features of its edges and a random number as input. We add some additional Gaussian noise to the resulting output and set that as edge weight.",MandiGuns2020_InteriorPoint.pdf,8,4 Experiments -- Shortest path problem,"Experiment 3 (shortest path, Table 4): edge costs are SYNTHETIC -- generated by a random network from real node features plus a random input and additive Gaussian noise. Real network structure/features, synthetic noisy targets. Contradicts noise=real; supports mixed."
mandi2020smart,noise,mixed,quote,"Instead of fully synthetic small-scale data, we use, as network structure, a twitter ego networks comprising of 231 nodes and 2861 edges [16].",MandiGuns2020_InteriorPoint.pdf,8,4 Experiments -- Shortest path problem,"The paper contrasts itself with 'fully synthetic' data, but only the graph structure and node features are real; the costs are generated."
