sweep_id,venue,year,title,bucket,reason,confidence,frame_id,model_id,prompt_hash,run_date
SW0022,AAAI,2024,Fairness under Covariate Shift: Improving Fairness-Accuracy Tradeoff with Few Unlabeled Test Samples,OUT,Focus is on fairness-accuracy tradeoff in classification under covariate shift; no downstream optimization or decision problem.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0023,AAAI,2024,Frugal LMs Trained to Invoke Symbolic Solvers Achieve Parameter-Efficient Arithmetic Reasoning,CANDIDATE,Arithmetic word problems are decision/optimization problems; learned LM translates to formal language for symbolic solver.,medium,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0024,AAAI,2024,GridFormer: Point-Grid Transformer for Surface Reconstruction,OUT,3D surface reconstruction from point clouds; no downstream decision or optimization problem as object of work.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0025,AAAI,2024,History Matters: Temporal Knowledge Editing in Large Language Model,OUT,Model editing and knowledge updating in LLMs; no external optimization or decision problem as object of work.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0026,AAAI,2024,Leaving the Nest: Going beyond Local Loss Functions for Predict-Then-Optimize,CANDIDATE,Predict-then-optimize framework with ML models tailored for decision-making tasks using task-specific loss functions.,high,SF0253,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0027,AAAI,2024,Sharpness-Aware Model-Agnostic Long-Tailed Domain Generalization,OUT,Domain generalization for classification; no downstream decision or optimization problem as object of work.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0028,AAAI,2024,StockMixer: A Simple Yet Strong MLP-Based Architecture for Stock Price Forecasting,OUT,Pure forecasting work with no downstream decision or optimization problem mentioned in abstract.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0029,AAAI,2024,Towards Transferable Adversarial Attacks with Centralized Perturbation,OUT,Adversarial attack generation; no downstream decision or optimization problem as object of work.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0030,AAAI,2024,Underspecification in Language Modeling Tasks: A Causality-Informed Study of Gendered Pronoun Resolution,OUT,Language modeling and bias detection work; no downstream optimization or decision problem as object of study.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0031,AAAI,2024,Understanding and Improving Optimization in Predictive Coding Networks,OUT,Only optimization is training dynamics of predictive coding networks; no external decision problem.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0032,AAAI,2025,Contextual Stochastic Optimization for School Desegregation Policymaking,CANDIDATE,Redistricting is a combinatorial assignment problem; learned school choice model integrated in optimization pipeline.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0033,AAAI,2025,Counterfactual Task-augmented Meta-learning for Cold-start Sequential Recommendation,OUT,Sequential recommendation system with no downstream optimization or decision problem; focuses on prediction/modeling only.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0034,AAAI,2025,DFF: Decision-Focused Fine-Tuning for Smarter Predict-Then-Optimize with Limited Data,CANDIDATE,"Predict-then-optimize framework with optimization problems (network flow, portfolio, resource allocation) as the object of work.",high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0035,AAAI,2025,Explanation Bottleneck Models,OUT,Interpretable model architecture for generating explanations; no external optimization or decision problem as object of work.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0036,AAAI,2025,GARLIC: GPT-Augmented Reinforcement Learning with Intelligent Control for Vehicle Dispatching,CANDIDATE,Vehicle dispatching is a combinatorial assignment problem; learned components predict traffic states and optimize dispatch policies.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0037,AAAI,2025,GEONet: Global Enhancement and Optimization Network for Lane Detection,OUT,Lane detection is a perception task; no downstream optimization or decision problem is mentioned.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0038,AAAI,2025,How Not to Stitch Representations to Measure Similarity: Task Loss Matching Versus Direct Matching,OUT,Paper analyzes similarity metrics for neural network representations; no external optimization or decision problem as object.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0039,AAAI,2025,In-Dataset Trajectory Return Regularization for Offline Preference-based Reinforcement Learning,OUT,"Reinforcement learning method development; optimization is only for training the policy itself, not an external decision problem.",high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0040,AAAI,2025,Integrating Large Language Models and Möbius Group Transformations for Temporal Knowledge Graph Embedding on the Riemann Sphere,OUT,Knowledge graph embedding and representation learning; no downstream optimization or decision problem as object of work.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0041,AAAI,2025,Joint Scoring Rules: Competition Between Agents Avoids Performative Prediction,OUT,"Paper addresses prediction and incentive alignment in principal-agent settings, but no optimization or decision problem is the object of work.",high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0042,AAAI,2025,Locally Convex Global Loss Network for Decision-Focused Learning,CANDIDATE,Decision-focused learning integrating prediction and optimization for decision-making problems under uncertainty.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0043,AAAI,2025,M2N: A Progressive Macro-to-Micro 3D Modeling Scheme for Unveiling Drug-Target Affinity,OUT,Drug-target affinity prediction is a forecasting task with no downstream optimization or decision problem described.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0044,AAAI,2025,OAMaskFlow: Occlusion-Aware Motion Mask for Scene Flow,OUT,"Scene flow estimation is computer vision perception task, not a decision or optimization problem as object.",high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0045,AAAI,2025,ScoreNet: Consistency-driven Framework with Multi-side Information Fusion for Session-based Recommendation,OUT,Recommendation system with no downstream optimization or decision problem; focus is on prediction accuracy.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0046,AAAI,2025,Spatiotemporal-aware Trend-Seasonality Decomposition Network for Traffic Flow Forecasting,OUT,Traffic flow forecasting with no downstream optimization or decision problem; purely predictive modeling work.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0047,AAAI,2025,Statistical Methodologies for Decision-Making and Uncertainty Reduction in Machine Learning,CANDIDATE,"Explicitly mentions data-driven contextual optimization as a research pillar, which is the target topic.",high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0048,AAAI,2025,TAMER: Tree-Aware Transformer for Handwritten Mathematical Expression Recognition,OUT,Recognition task with no downstream optimization or decision problem; only model training and prediction.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0049,AAAI,2026,Advancing Safe Mechanical Ventilation Using Offline RL With Hybrid Actionand Clinically Aligned Rewards,CANDIDATE,Mechanical ventilation setting optimization is a control/decision problem; learned RL policy operates in same pipeline.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0050,AAAI,2026,Bridging Public Health with Clinical Decisions from a Data Centric Perspective,CANDIDATE,Optimizing disease surveillance and control policies is a decision problem; learned models appear in the pipeline.,medium,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0051,AAAI,2026,C3RL: Rethinking the Combination of Channel-independence and Channel-mixing from Representation Learning,OUT,Multivariate time series forecasting with no downstream optimization or decision problem mentioned.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0052,AAAI,2026,Cliqueformer: Model-Based Optimization with Structured Transformers,CANDIDATE,Protein engineering and materials discovery are design/optimization problems; learned model predicts function to guide design decisions.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0053,AAAI,2026,Conformal Constrained Policy Optimization for Cost-Effective LLM Agents,OUT,Focus is on training/deploying LLM agents cost-effectively; no external optimization or decision problem as object.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0054,AAAI,2026,Constrained Online Convex Optimization with Memory and Predictions,CANDIDATE,Control of constrained dynamical systems and scheduling are decision problems; learned/predictive component appears in same pipeline.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0055,AAAI,2026,DISC: Dynamic Feature Selection for Cost-Sensitive Medical Diagnosis,CANDIDATE,Sequential selection of medical examinations is a decision problem; learned model determines which tests to order.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0056,AAAI,2026,DMOSpeech 2: Reinforcement Learning for Duration Prediction in Metric-Optimized Speech Synthesis,OUT,Text-to-speech synthesis with no external decision problem; optimization refers only to model training and generation quality.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0057,AAAI,2026,DRIFT: Difference-Aware Reinforcement Through Iterative Fine-Tuning for Language Models,OUT,Training methodology for language models; no external optimization or decision problem as object of work.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0058,AAAI,2026,From Attribution to Action: Jointly ALIGNing Predictions and Explanations,OUT,Focus is on interpretable machine learning and explanation quality; no external optimization or decision problem as object.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0059,AAAI,2026,From Sequential to Recursive: Enhancing Decision-Focused Learning with Bidirectional Feedback,CANDIDATE,Newsvendor and bipartite matching are decision problems; learned predictions feed into optimization pipeline.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0060,AAAI,2026,KOALA: Knowledge of Optimization and Learning Algorithms for Healthcare,CANDIDATE,"Decision-focused learning with optimization as differentiable layer, healthcare decision-making under uncertainty.",high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0061,AAAI,2026,Learnable Permutation for Structured Sparsity on Transformer Models,OUT,Model pruning and compression machinery; no external decision or optimization problem as object of work.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0062,AAAI,2026,Learning to Compress: Unlocking the Potential of Large Language Models for Text Representation,OUT,Text representation learning with no downstream decision or optimization problem; focuses on model training methodology.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0063,AAAI,2026,Learning to Curate Context: Jointly Optimizing Retrieval and Prediction for Multimodal Social Media Popularity,OUT,Popularity prediction is forecasting with no downstream decision problem; retrieval optimization serves model training only.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0064,AAAI,2026,Multi-Task Test-time Adaptation via Gradient Consensus and Plasticity Constraint,OUT,Test-time adaptation is model training/updating machinery; no external optimization or decision problem as object of work.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0065,AAAI,2026,Quiet Feature Learning in Algorithmic Tasks,OUT,Studies training dynamics and internal representations of language models; no external optimization or decision problem.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0066,AAAI,2026,Rethinking Flow and Diffusion Bridge Models for Speech Enhancement,OUT,Speech enhancement is signal processing with no downstream decision or optimization problem as the object.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0067,AAAI,2026,SafeLens: Segment-Level Hate Speech Detection in Online Videos,OUT,Content moderation classification system with no optimization or decision problem as the object of work.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0068,AAAI,2026,Scaling and Transferability of Annealing Strategies in Large Language Model Training,OUT,Only optimization is learning rate scheduling for model training; no external decision or optimization problem.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0069,AAAI,2026,Speech Recognition Model Improves Text-to-Speech Synthesis Using Fine-Grained Reward,OUT,TTS model training optimization using ASR feedback; no external decision or optimization problem as object.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0070,AAAI,2026,Split-Layer: Enhancing Implicit Neural Representation by Maximizing the Dimensionality of Feature Space,OUT,Focuses on neural network architecture for representation learning; no downstream optimization or decision problem.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0071,AAAI,2026,Uncertainty Quantification for Machine Learning: One Size Does Not Fit All,OUT,"Focus is on uncertainty quantification methods for ML models themselves, not on downstream optimization or decision problems.",high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0072,AAAI,2026,Unlocking Efficient Vehicle Dynamics Modeling via Analytic World Models,CANDIDATE,Autonomous driving with optimal planners and decision-making augmentation; differentiable dynamics enable learning for planning tasks.,medium,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0073,AISTATS,2023,Bayesian Optimization with Conformal Prediction Sets,CANDIDATE,Black-box optimization and ranking are decision problems; learned Bayesian model predicts outcomes in same pipeline.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0074,AISTATS,2023,Ideal Abstractions for Decision-Focused Learning,CANDIDATE,"Decision-making tasks (data acquisition, wildfire management) with learned predictions in same pipeline; abstractions optimize for downstream decisions.",high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0075,AISTATS,2023,Stochastic Methods for AUC Optimization subject to AUC-based Fairness Constraints,OUT,Model training with fairness constraints; no external decision or optimization problem as object of work.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0076,AISTATS,2024,Conformal Contextual Robust Optimization,CANDIDATE,"Vehicle routing is a decision problem; framework combines prediction (conformal regions, generative models) with optimization in same pipeline.",high,SF0215,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0077,AISTATS,2024,DE-HNN: An effective neural model for Circuit Netlist representation,CANDIDATE,Place-and-route is a combinatorial optimization problem in chip design; learned model predicts optimization outcomes.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0078,AISTATS,2024,Differentiable Rendering with Reparameterized Volume Sampling,OUT,View synthesis and neural radiance field rendering; no downstream decision or optimization problem as object.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0079,AISTATS,2024,Explanation-based Training with Differentiable Insertion/Deletion Metric-aware Regularizers,OUT,Only optimization is training/regularization of the model itself; no external decision or optimization problem.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0080,AISTATS,2024,Functional Graphical Models: Structure Enables Offline Data-Driven Optimization,CANDIDATE,Protein design optimization is the decision problem; learned models predict fluorescence to guide optimization.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0081,AISTATS,2024,Inconsistency of Cross-Validation for Structure Learning in Gaussian Graphical Models,OUT,Model selection and hyperparameter tuning for graphical model structure learning; no downstream decision problem.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0082,AISTATS,2024,Online Calibrated and Conformal Prediction Improves Bayesian Optimization,OUT,"Hyperparameter optimization is model-training machinery, not an external decision problem as the object of work.",high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0083,AISTATS,2024,"Think Global, Adapt Local: Learning Locally Adaptive K-Nearest Neighbor Kernel Density Estimators",OUT,Density estimation method with no downstream optimization or decision problem mentioned.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0084,AISTATS,2025,A Convex Relaxation Approach to Generalization Analysis for Parallel Positively Homogeneous Networks,OUT,Generalization analysis of neural network training; no external decision or optimization problem as object of work.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0085,AISTATS,2025,Differentiable Causal Structure Learning with Identifiability Guarantees by NOTIME,OUT,Causal structure learning is representation learning; no downstream decision or optimization problem as object of work.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0086,AISTATS,2025,Epistemic Uncertainty and Excess Risk in Variational Inference,OUT,Focuses on uncertainty quantification in Bayesian inference and variational inference training; no external decision or optimization problem.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0087,AISTATS,2025,Implicit Diffusion: Efficient optimization through stochastic sampling,OUT,Focuses on differentiating through sampling operations for model training; no external decision or optimization problem as object.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0088,AISTATS,2025,Inverse Optimization with Prediction Market: A Characterization of Scoring Rules for Elciting System States,CANDIDATE,Inverse optimization recovers unknown parameters of optimization problems; prediction market provides learned/crowd-sourced beliefs about system state.,medium,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0089,AISTATS,2025,Multi-Agent Credit Assignment with Pretrained Language Models,OUT,Multi-agent RL credit assignment and training methodology; no external optimization or decision problem as object of work.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0090,AISTATS,2025,S-CFE: Simple Counterfactual Explanations,OUT,"Counterfactual explanations for classifiers is model interpretability machinery, not an external optimization problem as the object.",high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0091,CPAIOR,2023,"20th International Conference on the Integration of Constraint Programming, Artificial Intelligence, and Operations Research, CPAIOR 2023",OUT,"proceedings front matter, not a paper",high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0092,CPAIOR,2023,Branch & Learn with Post-hoc Correction for Predict+Optimize with Unknown Parameters in Constraints,CANDIDATE,"Optimization problems with unknown parameters predicted from context, combining machine learning with constrained optimization.",high,SF0131,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0093,CPAIOR,2023,Contextual Robust Optimisation with Uncertainty Quantification,CANDIDATE,Portfolio optimization is the decision problem; uncertainty quantification methods predict parameters from context/side-information.,high,SF0221,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0094,CPAIOR,2023,Predicting Wildlife Trafficking Routes with Differentiable Shortest Paths,CANDIDATE,Shortest path routing is the decision problem; differentiable solver used with learned likelihood predictions in pipeline.,high,SF0098,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0095,CPAIOR,2024,"21st International Conference on the Integration of Constraint Programming, Artificial Intelligence, and Operations Research, CPAIOR 2024",OUT,"proceedings front matter, not a paper",high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0096,CPAIOR,2024,"21st International Conference on the Integration of Constraint Programming, Artificial Intelligence, and Operations Research, CPAIOR 2024",OUT,"proceedings front matter, not a paper",high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0097,CPAIOR,2024,CaVE: A Cone-Aligned Approach for Fast Predict-then-optimize with Binary Linear Programs,CANDIDATE,Binary linear programs are decision problems; method integrates prediction of cost coefficients with optimization in end-to-end learning.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0098,CPAIOR,2024,Decision-Focused Predictions via Pessimistic Bilevel Optimization: A Computational Study,CANDIDATE,Shortest-path problem with uncertain costs; predictive model trained to minimize decision regret.,high,SF0041,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0099,CPAIOR,2024,Improving Metaheuristic Efficiency for Stochastic Optimization by Sequential Predictive Sampling,CANDIDATE,Combinatorial optimization problems solved by metaheuristics with predictive model for solution evaluation under uncertainty.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0100,CPAIOR,2024,Learning Deterministic Surrogates for Robust Convex QCQPs,CANDIDATE,Convex QCQP is an optimization problem; learned prediction models feed into robust decision-making pipeline.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0101,CPAIOR,2024,Learning from Scenarios for Repairable Stochastic Scheduling,CANDIDATE,Stochastic scheduling is a decision problem; learned predictions of processing times feed into optimization pipeline.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0102,CPAIOR,2025,Learning Primal Heuristics for 0–1 Knapsack Interdiction Problems,CANDIDATE,Knapsack interdiction is a combinatorial optimization problem; learned model predicts parameters feeding into optimization layer.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0103,ICLR,2023,ALTERNATING DIFFERENTIATION FOR OPTIMIZATION LAYERS,CANDIDATE,Optimization layers embedded in neural networks to encode constraints; method for differentiating through optimization problems.,high,SF0264,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0104,ICLR,2023,BACKPROPAGATION THROUGH COMBINATORIAL ALGORITHMS: IDENTITY WITH PROJECTION WORKS,CANDIDATE,Differentiable discrete solvers for graph matching and other combinatorial problems; learned components in same pipeline.,high,SF0245,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0105,ICLR,2023,BRAIN-LIKE REPRESENTATIONAL STRAIGHTENING OF NATURAL MOVIES IN ROBUST FEEDFORWARD NEURAL NETWORKS,OUT,Representation learning work studying neural network features; no downstream decision or optimization problem as object of study.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0106,ICLR,2023,DEEP DECLARATIVE DYNAMIC TIME WARPING FOR END-TO-END LEARNING OF ALIGNMENT PATHS,CANDIDATE,DTW alignment is a decision problem; learned models predict time series features for downstream alignment tasks.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0107,ICLR,2023,DISTILLING COGNITIVE BACKDOOR PATTERNS WITHIN AN IMAGE,OUT,"Backdoor detection in neural networks is model-training security machinery, not an external decision or optimization problem.",high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0108,ICLR,2023,GNNINTERPRETER: A PROBABILISTIC GENERATIVE MODEL-LEVEL EXPLANATION FOR GRAPH NEURAL NETWORKS,OUT,"Focuses on explaining/interpreting GNN decisions, not on solving an optimization or decision problem as the object.",high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0109,ICLR,2023,HETEROGENEOUS NEURONAL AND SYNAPTIC DYNAMICS FOR SPIKE-EFFICIENT UNSUPERVISED LEARNING: THEORY AND DESIGN PRINCIPLES,OUT,Focus is on neural network architecture design and training dynamics; no external optimization or decision problem.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
SW0110,ICLR,2023,HYPERBOLIC DEEP REINFORCEMENT LEARNING,OUT,Representation learning for RL; no external optimization or decision problem as object of work.,high,,claude-sonnet-4-5-20250929,6cdbe5801fa3,2026-09-17
