frame_id,canonical_id,final_bucket,machine_bucket,ruled_by,reviewed,adjudicated,reason,agreement,title,year,model_id,prompt_hash,run_date
SF0011,SF0011,BACKGROUND,BACKGROUND,VG,yes,,"Generalized random forests is a general statistical estimation method for heterogeneous treatment effects and conditional quantities, with no downstream decision problem in scope (c).",3/3,Generalized random forests,2019,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0012,SF0012,BACKGROUND,BACKGROUND,VG,yes,,"Theoretical work on causal optimal transport in discrete time, a mathematical framework without learned predictions or contextual decision-making applications.",3/3,Causal transport in discrete time and applications,2017,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0013,SF0013,BACKGROUND,BACKGROUND,VG,yes,,"Deep equilibrium models are a general neural network architecture for implicit-depth networks, with no decision or optimization problem as their object. Category (b).",3/3,Deep equilibrium models,2019,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0014,SF0014,BACKGROUND,BACKGROUND,VG,yes,,"A general survey on multimodal machine learning (combining vision, language, audio) with no focus on decision problems or optimization under uncertainty. Category (b).",3/3,Multimodal machine learning: A survey and taxonomy,2019,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0015,SF0015,CANDIDATE,CANDIDATE,machine,no,,"Proposes a method for dynamic procurement decisions using covariate information to predict demand, directly addressing contextual/prescriptive optimization in operations.",3/3,Dynamic procurement of new products with covariate information: The residual tree method,2019,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0016,SF0016,CANDIDATE,CANDIDATE,machine,no,,"Proposes machine learning methods for the newsvendor problem with covariates, a core contextual/prescriptive optimization application combining prediction and inventory decisions.",3/3,The Big Data Newsvendor: Practical Insights from Machine Learning,2019,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0017,SF0017,BACKGROUND,BACKGROUND,VG,yes,,"A classic statistics textbook on exponential families and information theory, a general statistical reference with no decision problem or contextual optimization content.",3/3,Information and exponential families: in statistical theory,1978,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0018,SF0018,BACKGROUND,BORDERLINE,VG,yes,yes,decision-dependence outside stochastic optimization scope,3/3,Distributionally robust facility location problem under decision-dependent stochastic demand,2021,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0019,SF0019,BACKGROUND,BACKGROUND,VG,yes,,"Survey of automatic differentiation as a general technique for computing gradients in machine learning, not specific to decision-focused learning or contextual optimization. Category (b).",3/3,Automatic differentiation in machine learning: a survey,2018,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0020,SF0020,BACKGROUND,BACKGROUND,VG,yes,,"Classic textbook on linear programming and network flow optimization, a general field reference with no learning or prediction component. Category (a).",3/3,Linear programming and network flows,2008,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0021,SF0021,CANDIDATE,CANDIDATE,machine,no,,Portfolio selection using market side information (covariates) with generalization bounds; directly addresses contextual/data-driven optimization with predictions informing decisions.,3/3,Generalization bounds for regularized portfolio selection with market side information,2020,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0022,SF0022,CANDIDATE,BORDERLINE,VG,yes,yes,part of the optimization proxies lit seemingly,3/3,Neural combinatorial optimization with reinforcement learning,2017,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0023,SF0023,BACKGROUND,BACKGROUND,VG,yes,,"A foundational textbook on robust optimization as a general field, not specific to contextual or predict-then-optimize methods. Category (a).",3/3,"Robust optimization, Vol",2009,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0024,SF0024,CANDIDATE,CANDIDATE,machine,no,,"Early work on training neural networks with a financial decision criterion rather than prediction accuracy, directly relevant to decision-focused learning foundations.",3/3,Using a financial training criterion rather than a prediction criterion,1997,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0025,SF0025,CANDIDATE,BORDERLINE,VG,yes,yes,part of the optimization proxies lit seemingly,3/3,Machine learning for combinatorial optimization: A methodological tour d’horizon,2021,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0026,SF0026,CANDIDATE,CANDIDATE,machine,no,,"Proposes differentiable perturbed optimizers, core machinery for differentiating through optimization problems used in decision-focused learning pipelines.",3/3,Learning with differentiable perturbed optimizers,2020,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0027,SF0027,CANDIDATE,CANDIDATE,machine,no,,"Proposes optimal prescriptive trees for data-driven decision-making with covariates, directly in the prescriptive analytics / contextual optimization area.",3/3,Optimal prescriptive trees,2019,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0028,SF0028,CANDIDATE,CANDIDATE,machine,no,,Foundational paper on prescriptive analytics that integrates prediction with optimization decisions using covariates; a core methodological contribution to the contextual optimization area.,3/3,From predictive to prescriptive analytics,2020,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0029,SF0029,CANDIDATE,BORDERLINE,VG,yes,yes,Learns to map problem parameters to optimal solutions (optimization proxies/learned solvers); related to but not clearly within predict-then-optimize with covariates.,3/3,The voice of optimization,2021,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0030,SF0030,CANDIDATE,CANDIDATE,machine,no,,Proposes robust prescriptive analytics methods combining data-driven optimization with contextual/covariate information for decision-making under uncertainty.,3/3,Bootstrap robust prescriptive analytics,2022,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0031,SF0031,CANDIDATE,BORDERLINE,VG,yes,yes,"Data-driven optimization using RKHS for decision-making from data, but unclear from title whether it involves covariates/side information or is sample-based DRO.",3/3,Data-driven optimization: A reproducing kernel Hilbert space approach,2022,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0032,SF0032,CANDIDATE,CANDIDATE,machine,no,,"Dynamic optimization with side information directly addresses contextual/data-driven optimization where decisions depend on covariates, a core topic of the audit.",3/3,Dynamic optimization with side information,2023,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0033,SF0033,CANDIDATE,CANDIDATE,machine,no,,"Directly studies contextual decision-making under newsvendor loss, analyzing data quality in predict-then-optimize settings with side information.",3/3,Quality vs,2023,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0034,SF0034,BACKGROUND,BACKGROUND,VG,yes,,"A foundational textbook on stochastic programming, a general optimization field; cited for context rather than proposing contextual optimization methods.",3/3,Introduction to stochastic programming,2011,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0035,SF0035,CANDIDATE,CANDIDATE,machine,no,,"Differentiable machinery for sorting/ranking operations, which are discrete selection problems; such methods are often used in decision-focused learning pipelines with learned inputs.",3/3,Fast differentiable sorting and ranking,2020,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0036,SF0036,CANDIDATE,CANDIDATE,machine,no,,"Develops Fenchel-Young losses enabling structured prediction with differentiable optimization components, foundational machinery used in decision-focused learning and predict-then-optimize methods.",3/3,Learning with Fenchel-Young losses,2020,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0037,SF0037,CANDIDATE,CANDIDATE,machine,no,,"Implicit differentiation machinery for optimization layers, directly enabling backpropagation through optimization problems used in decision-focused learning pipelines.",3/3,Efficient and modular implicit differentiation,2022,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0038,SF0038,BACKGROUND,BACKGROUND,VG,yes,,"A general textbook on graph theory, a foundational mathematical field with no specific focus on contextual optimization or decision-focused learning.",3/3,"Modern graph theory, Vol",2013,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0039,SF0039,CANDIDATE,CANDIDATE,machine,no,,"Develops nonsmooth implicit differentiation machinery for optimization layers in machine learning, directly enabling differentiation through optimization problems used in decision-focused learning.",3/3,Nonsmooth implicit differentiation for machine-learning and optimization,2021,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0040,SF0040,BACKGROUND,BACKGROUND,VG,yes,,"Classic textbook on convex optimization fundamentals, a general field reference with no decision-focused or predict-then-optimize content. Category (a).",3/3,Convex Optimization,2014,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0041,SF0041,CANDIDATE,CANDIDATE,machine,no,,"Directly addresses decision-focused predictions using bilevel optimization, a core topic in predict-then-optimize and contextual optimization.",3/3,Decision-focused predictions via pessimistic bilevel optimization: a computational study,2023,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0042,SF0042,BACKGROUND,BACKGROUND,VG,yes,,A numerical optimization paper on refining solutions to conic programs; classical optimization algorithm work with no learning or prediction component (e).,3/3,Solution refinement at regular points of conic problems,2019,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0043,SF0043,CANDIDATE,CANDIDATE,machine,no,,"Proposes efficient differentiable quadratic programming layers, which are core machinery for end-to-end learning through optimization problems in decision-focused learning.",3/3,Efficient differentiable quadratic programming layers: an ADMM approach,2023,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0044,SF0044,CANDIDATE,CANDIDATE,machine,no,,"Integrates prediction into portfolio optimization decisions, directly addressing the predict-then-optimize paradigm in a financial application with mean-variance objectives.",3/3,Integrating prediction in mean-variance portfolio optimization,2023,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0045,SF0045,CANDIDATE,CANDIDATE,machine,no,,"A meta-analysis of data-driven newsvendor approaches directly surveys methods for contextual/feature-based inventory decisions, core to the audit's scope.",3/3,A meta analysis of data-driven newsvendor approaches,2022,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0046,SF0046,CANDIDATE,CANDIDATE,machine,no,,"Directly addresses predict-then-optimize by analyzing 'perils of learning before optimizing,' a core topic in decision-focused learning literature.",3/3,The perils of learning before optimizing,2022,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0047,SF0047,BACKGROUND,BACKGROUND,VG,yes,,"A general machine learning method for learning-to-rank in information retrieval, with no decision or optimization problem as its object.",3/3,Learning to rank: from pairwise approach to listwise approach,2007,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0048,SF0048,BACKGROUND,BACKGROUND,VG,yes,,Wireless communications paper on antenna port selection with no connection to contextual optimization or predict-then-optimize methods (f).,3/3,Port selection for fluid antenna systems,2022,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0049,SF0049,BACKGROUND,BORDERLINE,VG,yes,yes,"Inverse optimization learns optimization models from observed decisions, related but distinct from predict-then-optimize; whether it overlaps requires full-text review.",3/3,Inverse optimization: Theory and applications,2021,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0050,SF0050,BACKGROUND,BORDERLINE,VG,yes,yes,Distributionally robust regression for learning; data-driven but unclear if covariates inform downstream decisions or if it's pure estimation without decision context.,3/3,A robust learning approach for regression models based on distributionally robust optimization,2018,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0051,SF0051,CANDIDATE,CANDIDATE,machine,no,,"Proposes a method for selecting optimal decisions using distributionally robust nearest-neighbor regression, directly addressing contextual/data-driven decision-making with side information.",3/3,Selecting optimal decisions via distributionally robust nearest-neighbor regression,2019,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0052,SF0052,CANDIDATE,CANDIDATE,machine,no,,"Proposes differentiable projection for energy optimization with learned predictions, directly applying end-to-end constrained optimization learning to energy systems.",3/3,Enforcing policy feasibility constraints through differentiable projection for energy optimization,2021,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0053,SF0053,CANDIDATE,BORDERLINE,VG,yes,yes,optimization proxies,3/3,End-to-end feasible optimization proxies for large-scale economic dispatch,2023,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0054,SF0054,CANDIDATE,CANDIDATE,machine,no,,"Proposes end-to-end conditional robust optimization, directly combining prediction with robust decision-making under uncertainty—core to contextual optimization.",3/3,"Chenreddy, A",,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0055,SF0055,CANDIDATE,CANDIDATE,machine,no,,"Data-driven conditional robust optimization directly addresses contextual/covariate-dependent robust optimization, a core topic in the contextual optimization area.",3/3,Data-driven conditional robust optimization,2022,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0056,SF0056,CANDIDATE,CANDIDATE,machine,no,,"Data-driven optimization for last-mile delivery is an application of contextual/prescriptive optimization, making decisions (routing/delivery) informed by data-driven predictions.",3/3,Data-driven optimization for last-mile delivery,2023,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0057,SF0057,CANDIDATE,CANDIDATE,machine,no,,Explicitly titled 'Decision-aware learning' applied to health supply chains—directly proposes decision-focused methods for optimization under uncertainty with predictions.,3/3,Decision-aware learning for optimizing health supply chains,2022,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0058,SF0058,BACKGROUND,BORDERLINE,VG,yes,yes,sequential decision-making,3/3,Interpretable optimal stopping,2022,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0059,SF0059,BACKGROUND,BACKGROUND,VG,yes,,"A classic textbook on nonsmooth analysis and optimization theory, a general mathematical field with no learned or predicted components. Category (a).",3/3,Optimization and nonsmooth analysis,1990,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0060,SF0060,CANDIDATE,CANDIDATE,machine,no,,"Dynamic pricing with fairness constraints likely involves making pricing decisions based on predicted demand or customer behavior, fitting contextual optimization applications.",3/3,Dynamic pricing with fairness constraints,2021,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0061,SF0061,CANDIDATE,CANDIDATE,machine,no,,"Pricing decisions with fairness constraints, likely involving demand prediction for price optimization—a contextual decision-making application in the predict-then-optimize space.",3/3,Price discrimination with fairness constraints,2022,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0062,SF0062,BACKGROUND,BORDERLINE,VG,yes,yes,"Differentiable patch selection is machinery for discrete selection in vision; unclear if used in decision problems with predictions, needs full-text review.",3/3,Differentiable patch selection for image recognition,2021,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0063,SF0063,CANDIDATE,CANDIDATE,machine,no,,"Proposes distributionally robust end-to-end portfolio construction, directly combining prediction and optimization in a decision-focused learning framework for finance.",3/3,Distributionally robust end-to-end portfolio construction,2023,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0064,SF0064,CANDIDATE,CANDIDATE,machine,no,,End-to-end learning for linear programs in supply chains is core predict-then-optimize / decision-focused learning methodology and application.,3/3,Endto-end learning via constraint-enforcing approximators for linear programs with applications to supply chains,2022,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0065,SF0065,BACKGROUND,BACKGROUND,VG,yes,,Universal approximation theorem for neural networks; foundational result in function approximation theory with no decision problem or optimization context (b).,3/3,Approximation by superpositions of a sigmoidal function,1989,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0066,SF0066,CANDIDATE,CANDIDATE,machine,no,,"Proposes a probabilistic approach for learning with combinatorial optimization layers, which is core machinery for integrating optimization into learning pipelines in decision-focused settings.",3/3,Learning with combinatorial optimization layers: a probabilistic approach,2022,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0067,SF0067,BACKGROUND,BACKGROUND,VG,yes,,A classical operator splitting algorithm for optimization with no learning or prediction component; general optimization machinery (e).,3/3,A three-operator splitting scheme and its optimization applications,2017,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0068,SF0068,BACKGROUND,BORDERLINE,VG,yes,yes,"Distributionally robust optimization from data using moment constraints, but without covariates or side information; whether contextual aspects appear requires full-text review.",3/3,Distributionally robust optimization under moment uncertainty with application to data-driven problems,2010,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0069,SF0069,CANDIDATE,CANDIDATE,machine,no,,"Directly investigates prediction+optimization (predict-then-optimize) for the knapsack problem, a core topic in decision-focused learning.",3/3,An investigation into prediction+ optimisation for the knapsack problem,2019,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0070,SF0070,CANDIDATE,CANDIDATE,machine,no,,A predict-then-optimize paper proposing methods for learning linear functions with ranking objectives; core decision-focused learning work.,3/3,Predict+ optimise with ranking objectives: Exhaustively learning linear functions,2019,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0071,SF0071,CANDIDATE,CANDIDATE,machine,no,,"Proposes a predict+optimise method using dynamic programming, directly addressing decision-focused learning for optimization problems with predictions.",3/3,Dynamic programming for predict+optimise,2020,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0072,SF0072,CANDIDATE,CANDIDATE,machine,no,,"A position paper explicitly addressing the integration of predictive and prescriptive analytics, directly relevant to the predict-then-optimize and contextual optimization literature.",3/3,Bridging the gap between predictive and prescriptive analytics-new optimization methodology needed,2016,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0073,SF0073,CANDIDATE,CANDIDATE,machine,no,,"Predictive stochastic programming integrates prediction with stochastic optimization decisions, directly addressing contextual optimization where uncertain parameters are learned from data.",3/3,Predictive stochastic programming,2022,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0074,SF0074,BACKGROUND,BACKGROUND,VG,yes,,Dijkstra's shortest-path algorithm is a classical graph algorithm with nothing learned or predicted; foundational but not in scope. Category (e).,3/3,A note on two problems in connexion with graphs,1959,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0075,SF0075,CANDIDATE,CANDIDATE,machine,no,,"Proposes end-to-end learning for optimization under uncertainty with fairness considerations, directly addressing predict-then-optimize methodology.",3/3,End-to-end learning for fair multiobjective optimization under uncertainty,2024,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0076,SF0076,CANDIDATE,CANDIDATE,machine,no,,"Proposes learning ranking policies via differentiable optimization, combining prediction with decision-making through differentiable machinery for fairness objectives.",3/3,Learning fair ranking policies via differentiable optimization of ordered weighted averages,2024,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0077,SF0077,CANDIDATE,CANDIDATE,machine,no,,Differentiable learning of submodular models is machinery for learning discrete selection structures; such methods are often used in decision problems with learned inputs.,3/3,Differentiable learning of submodular models,2017,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0078,SF0078,CANDIDATE,CANDIDATE,machine,no,,"Optimizes fairness objectives in ranking problems, which involves decision-making (ranking) with learned components; fairness-aware ranking is a decision problem with predictions.",3/3,Optimizing generalized gini indices for fairness in rankings,2022,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0079,SF0079,CANDIDATE,CANDIDATE,machine,no,,Implicit differentiation through optimization is core machinery for decision-focused learning; this foundational work enables backpropagation through argmin layers.,3/3,Implicit differentiation by perturbation,2010,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0080,SF0080,CANDIDATE,CANDIDATE,machine,no,,"Early work on differentiating through optimization for learning, foundational machinery for decision-focused and end-to-end learning approaches.",3/3,Generic methods for optimization-based modeling,2012,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0081,SF0081,BACKGROUND,BACKGROUND,VG,yes,,"A monograph on variational analysis and implicit function theory, a general mathematical field with no decision-focused learning content (a).",3/3,Implicit functions and solution mappings: A view from variational analysis,2009,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0082,SF0082,CANDIDATE,CANDIDATE,machine,no,,Foundational paper on task-based/decision-focused learning that trains predictive models end-to-end for stochastic optimization tasks; core work in the area.,3/3,Task-based end-to-end model learning in stochastic optimization,2017,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0083,SF0083,CANDIDATE,CANDIDATE,machine,no,,"Donti et al. work on neural network policies with control guarantees, integrating learning with optimization constraints—relevant to end-to-end decision-making under uncertainty.",3/3,Enforcing robust control guarantees within neural network policies,2021,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0084,SF0084,BACKGROUND,BACKGROUND,VG,yes,,"A foundational paper on interpretability/explainability in machine learning generally, with no decision-optimization focus; category (f) unrelated field.",3/3,Towards a rigorous science of interpretable machine learning,2017,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0085,SF0085,CANDIDATE,BORDERLINE,VG,yes,yes,"optimization proxies, but probably no learning",3/3,"Deep implicit layers tutorial - neural ODEs, deep equilibrium models, and beyond",2020,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0086,SF0086,CANDIDATE,CANDIDATE,machine,no,,"Theoretical analysis of generalization bounds specifically for the predict-then-optimize framework, a core topic in contextual optimization.",3/3,Generalization bounds in the predict-then-optimize framework,2019,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0087,SF0087,CANDIDATE,CANDIDATE,machine,no,,"Proposes decision trees specifically designed for the predict-then-optimize framework, directly addressing decision-focused learning methodology.",3/3,Decision trees for decision-making under the predict-then-optimize framework,2020,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0088,SF0087,CANDIDATE,CANDIDATE,machine,no,,"Proposes decision trees specifically designed for the predict-then-optimize framework, directly addressing decision-focused learning methodology.",3/3,Decision trees for decisionmaking under the predict-then-optimize framework,2020,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0089,SF0089,CANDIDATE,CANDIDATE,machine,no,,Foundational paper introducing the Smart Predict-then-Optimize (SPO) framework and SPO+ loss for decision-focused learning; core work in this area.,3/3,"Smart ‘‘Predict, then Optimize’’",2022,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0090,SF0090,CANDIDATE,CANDIDATE,machine,no,,"Directly compares estimate-then-optimize versus integrated estimation-optimization approaches, which is core predict-then-optimize methodology analysis.",3/3,Estimate-then-optimize versus integrated-estimation-optimization: A stochastic dominance perspective,2023,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0091,SF0091,CANDIDATE,CANDIDATE,machine,no,,Distributionally robust stochastic programming with side information (covariates) is contextual optimization; this paper proposes methods for data-driven decisions conditioned on features.,3/3,Distributionally robust stochastic programs with side information based on trimmings,2022,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0092,SF0092,CANDIDATE,CANDIDATE,machine,no,,"Distributionally robust optimal power flow with contextual information directly addresses contextual/data-driven optimization for energy decisions using side information, core to the audit scope.",3/3,Distributionally robust optimal power flow with contextual information,2023,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0093,SF0093,CANDIDATE,CANDIDATE,machine,no,,"Directly proposes a smart predict-then-optimize method for two-stage linear programs with side information, a core topic in contextual optimization.",3/3,Smart predict-then-optimize for two-stage linear programs with side information,2023,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0094,SF0094,CANDIDATE,CANDIDATE,machine,no,,"A survey on optimization with constraint learning, which integrates learned models into optimization problems—directly relevant to the predict-then-optimize and data-driven decision-making literature.",3/3,Optimization with constraint learning: a framework and survey,2023,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0095,SF0095,BACKGROUND,BACKGROUND,VG,yes,,PyTorch Lightning is a general-purpose deep learning training framework/library with no decision problem focus. Category (d).,3/3,Pytorch lightning,2019,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0096,SF0096,BACKGROUND,BORDERLINE,VG,yes,yes,RL,3/3,Iterative value-aware model learning,2018,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0097,SF0097,CANDIDATE,CANDIDATE,machine,no,,"MIPaaL embeds mixed-integer programs as differentiable layers for end-to-end learning, core machinery for decision-focused/predict-then-optimize pipelines.",3/3,MIPaaL: Mixed integer program as a layer,2020,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0098,SF0098,CANDIDATE,CANDIDATE,machine,no,,"Applies differentiable shortest paths to predict wildlife trafficking routes, combining prediction with optimization—core decision-focused learning application.",3/3,Predicting wildlife trafficking routes with differentiable shortest paths,2023,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0099,SF0099,CANDIDATE,CANDIDATE,machine,no,,"Proposes learning surrogate models for combinatorial nonlinear optimization problems, directly relevant machinery for decision-focused and end-to-end optimization approaches.",3/3,Surco: Learning linear surrogates for combinatorial nonlinear optimization problems,2023,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0100,SF0100,CANDIDATE,CANDIDATE,machine,no,,"Application paper combining demand forecasting with price optimization decisions for an online retailer—predictions directly inform pricing decisions, fitting contextual optimization.",3/3,Analytics for an online retailer: Demand forecasting and price optimization,2016,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0101,SF0101,CANDIDATE,CANDIDATE,machine,no,,"Proposes an explainable approach for data-driven contextual optimization, directly addressing predict-then-optimize with interpretability; core to the audit area.",3/3,Explainable data-driven optimization: From context to decision and back again,2023,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
SF0102,SF0102,BACKGROUND,BORDERLINE,VG,yes,yes,"Jacobian-free backpropagation for implicit networks is machinery for differentiating through implicit layers, which may underpin optimization layers in decision-focused learning, but the title alone does not clarify decision-problem applications.",3/3,JFB: Jacobian-free backpropagation for implicit networks,2022,claude-opus-4-5-20251101,37b31a8a9812,2026-09-22
