sweep_id,venue,year,title,bucket,agreement,needs_adjudication,buckets_all,reason,confidence,model_id,runs,prompt_hash,run_date
SW0015,AAAI,2023,Privacy-Preserved Evolutionary Graph Modeling via Gromov-Wasserstein Autoregression,OUT,3/3,,OUT;OUT;OUT,Generative modeling of graph sequences for prediction; no downstream decision or optimization problem as the object.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0016,AAAI,2023,Scalable Bayesian Meta-Learning through Generalized Implicit Gradients,OUT,3/3,,OUT;OUT;OUT,Meta-learning optimization is model-training machinery; no external decision problem is the object of work.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0017,AAAI,2023,Scalable Decision-Focused Learning in Restless Multi-Armed Bandits with Application to Maternal and Child Health,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,"RMAB is optimization problem with learned transition dynamics prediction, explicitly decision-focused learning.",high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0018,AAAI,2023,Smoothed Online Combinatorial Optimization Using Imperfect Predictions,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,Combinatorial optimization with imperfect predictions in online decision-making pipeline matches contextual optimization setting.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0019,AAAI,2024,Contrastive Balancing Representation Learning for Heterogeneous Dose-Response Curves Estimation,OUT,3/3,,OUT;OUT;OUT,Causal inference for treatment effect estimation; no optimization or decision problem is the object of the work.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0020,AAAI,2024,Double-Bounded Optimal Transport for Advanced Clustering and Classification,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,Optimal transport is an optimization problem; the work develops DB-OT for clustering and classification tasks with learned components.,medium,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0021,AAAI,2024,E2E-AT: A Unified Framework for Tackling Uncertainty in Task-Aware End-to-End Learning,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,"Combines prediction and constrained optimization for decision making, with power system scheduling as application.",high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0022,AAAI,2024,Fairness under Covariate Shift: Improving Fairness-Accuracy Tradeoff with Few Unlabeled Test Samples,OUT,3/3,,OUT;OUT;OUT,Fairness-accuracy tradeoff in classification under covariate shift; no optimization or decision problem as the object.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0023,AAAI,2024,Frugal LMs Trained to Invoke Symbolic Solvers Achieve Parameter-Efficient Arithmetic Reasoning,OUT,3/3,,OUT;OUT;OUT,The symbolic solver is machinery for arithmetic reasoning; no external decision/optimization problem is the object.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0024,AAAI,2024,GridFormer: Point-Grid Transformer for Surface Reconstruction,OUT,3/3,,OUT;OUT;OUT,"3D surface reconstruction from point clouds is geometric modeling, not an optimization or decision problem.",high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0025,AAAI,2024,History Matters: Temporal Knowledge Editing in Large Language Model,OUT,3/3,,OUT;OUT;OUT,Model editing and knowledge updating in LLMs; no optimization or decision problem as the object.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0026,AAAI,2024,Leaving the Nest: Going beyond Local Loss Functions for Predict-Then-Optimize,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,Explicitly addresses Predict-then-Optimize framework for decision-making under uncertainty with ML models tailored to decision tasks.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0027,AAAI,2024,Sharpness-Aware Model-Agnostic Long-Tailed Domain Generalization,OUT,3/3,,OUT;OUT;OUT,Domain generalization for classification with no downstream decision or optimization problem as the object.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0028,AAAI,2024,StockMixer: A Simple Yet Strong MLP-Based Architecture for Stock Price Forecasting,OUT,3/3,,OUT;OUT;OUT,Pure stock price forecasting with no downstream optimization or decision problem mentioned.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0029,AAAI,2024,Towards Transferable Adversarial Attacks with Centralized Perturbation,OUT,3/3,,OUT;OUT;OUT,Adversarial attack generation focuses on fooling classifiers; no external decision or optimization problem is the object.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0030,AAAI,2024,Underspecification in Language Modeling Tasks: A Causality-Informed Study of Gendered Pronoun Resolution,OUT,3/3,,OUT;OUT;OUT,No optimization or decision problem; focuses on language model evaluation and spurious correlations in pronoun resolution.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0031,AAAI,2024,Understanding and Improving Optimization in Predictive Coding Networks,OUT,3/3,,OUT;OUT;OUT,"Training machinery only: improving optimization algorithms for training predictive coding neural networks, no external decision problem.",high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0032,AAAI,2025,Contextual Stochastic Optimization for School Desegregation Policymaking,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,School redistricting is a combinatorial optimization problem integrated with ML-based choice prediction in a contextual stochastic optimization framework.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0033,AAAI,2025,Counterfactual Task-augmented Meta-learning for Cold-start Sequential Recommendation,OUT,3/3,,OUT;OUT;OUT,Recommendation system with meta-learning for cold-start; no explicit optimization/decision problem as object of work.,medium,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0034,AAAI,2025,DFF: Decision-Focused Fine-Tuning for Smarter Predict-Then-Optimize with Limited Data,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,"Explicitly addresses predict-then-optimize with decision-focused learning for network flow, portfolio optimization, and resource allocation problems.",high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0035,AAAI,2025,Explanation Bottleneck Models,OUT,3/3,,OUT;OUT;OUT,Interpretable classification model generating text explanations; no optimization or decision problem as the object.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0036,AAAI,2025,GARLIC: GPT-Augmented Reinforcement Learning with Intelligent Control for Vehicle Dispatching,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,"Vehicle dispatching is an optimization/decision problem with learned components (RL, GPT predictions) in the pipeline.",high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0037,AAAI,2025,GEONet: Global Enhancement and Optimization Network for Lane Detection,OUT,3/3,,OUT;OUT;OUT,"Lane detection is a perception/computer vision task, not an optimization or decision problem; no downstream decision-making is involved.",high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0038,AAAI,2025,How Not to Stitch Representations to Measure Similarity: Task Loss Matching Versus Direct Matching,OUT,3/3,,OUT;OUT;OUT,Representation similarity measurement in neural networks; no optimization or decision problem as the object.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0039,AAAI,2025,In-Dataset Trajectory Return Regularization for Offline Preference-based Reinforcement Learning,OUT,3/3,,OUT;OUT;OUT,"Reinforcement learning policy optimization where the 'optimization' is training machinery, not an external decision problem.",high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0040,AAAI,2025,Integrating Large Language Models and Möbius Group Transformations for Temporal Knowledge Graph Embedding on the Riemann Sphere,OUT,3/3,,OUT;OUT;OUT,Knowledge graph embedding for reasoning and prediction; no optimization or decision problem is the object.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0041,AAAI,2025,Joint Scoring Rules: Competition Between Agents Avoids Performative Prediction,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,Principal uses predictions to inform decisions; learned predictive agents interact with optimization/decision-making pipeline.,medium,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0042,AAAI,2025,Locally Convex Global Loss Network for Decision-Focused Learning,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,Decision-focused learning integrating prediction and optimization for stochastic decision-making problems is explicitly the object of this work.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0043,AAAI,2025,M2N: A Progressive Macro-to-Micro 3D Modeling Scheme for Unveiling Drug-Target Affinity,OUT,3/3,,OUT;OUT;OUT,Drug-target affinity prediction is a regression/forecasting task with no downstream optimization or decision problem mentioned.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0044,AAAI,2025,OAMaskFlow: Occlusion-Aware Motion Mask for Scene Flow,OUT,3/3,,OUT;OUT;OUT,"Scene flow estimation is a computer vision perception task, not a decision or optimization problem being solved.",high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0045,AAAI,2025,ScoreNet: Consistency-driven Framework with Multi-side Information Fusion for Session-based Recommendation,OUT,3/3,,OUT;OUT;OUT,Session-based recommendation for next-item prediction is a prediction/ranking task without an explicit optimization problem as the object.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0046,AAAI,2025,Spatiotemporal-aware Trend-Seasonality Decomposition Network for Traffic Flow Forecasting,OUT,3/3,,OUT;OUT;OUT,Pure traffic forecasting work with no downstream optimization or decision problem as the object.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0047,AAAI,2025,Statistical Methodologies for Decision-Making and Uncertainty Reduction in Machine Learning,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,Explicitly mentions data-driven contextual optimization as a core research pillar alongside decision-making.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0048,AAAI,2025,TAMER: Tree-Aware Transformer for Handwritten Mathematical Expression Recognition,OUT,3/3,,OUT;OUT;OUT,Recognition/parsing task with no downstream optimization or decision problem as the object.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0049,AAAI,2026,Advancing Safe Mechanical Ventilation Using Offline RL With Hybrid Actionand Clinically Aligned Rewards,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,Optimizing mechanical ventilation settings is a sequential decision/control problem using offline RL with learned policies.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0050,AAAI,2026,Bridging Public Health with Clinical Decisions from a Data Centric Perspective,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,Addresses clinical decisions and optimizing disease surveillance/control policies with end-to-end learning and mechanistic models.,medium,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0051,AAAI,2026,C3RL: Rethinking the Combination of Channel-independence and Channel-mixing from Representation Learning,OUT,3/3,,OUT;OUT;OUT,Time series forecasting with no downstream decision or optimization problem mentioned.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0052,AAAI,2026,Cliqueformer: Model-Based Optimization with Structured Transformers,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,"Model-based optimization for design problems (protein engineering, materials discovery) is the object; transformer learns to solve these optimization tasks.",high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0053,AAAI,2026,Conformal Constrained Policy Optimization for Cost-Effective LLM Agents,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,Optimization problem (minimize cost subject to reliability constraint) with learned orchestration policy in same pipeline.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0054,AAAI,2026,Constrained Online Convex Optimization with Memory and Predictions,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,"Online optimization with constraints, memory, and predictions; applications include control and scheduling decision problems.",high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0055,AAAI,2026,DISC: Dynamic Feature Selection for Cost-Sensitive Medical Diagnosis,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,Sequential feature selection under cost constraints is a decision problem with learned components for prediction.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0056,AAAI,2026,DMOSpeech 2: Reinforcement Learning for Duration Prediction in Metric-Optimized Speech Synthesis,OUT,3/3,,OUT;OUT;OUT,Speech synthesis system optimization; no external decision or optimization problem as the object of work.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0057,AAAI,2026,DRIFT: Difference-Aware Reinforcement Through Iterative Fine-Tuning for Language Models,OUT,3/3,,OUT;OUT;OUT,"Training methodology for LLMs; optimization is machinery for model fine-tuning, no external decision problem.",high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0058,AAAI,2026,From Attribution to Action: Jointly ALIGNing Predictions and Explanations,OUT,3/3,,OUT;OUT;OUT,Image classification with interpretability focus; no optimization or decision problem as the object of work.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0059,AAAI,2026,From Sequential to Recursive: Enhancing Decision-Focused Learning with Bidirectional Feedback,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,"Explicitly addresses decision-focused learning with optimization problems (newsvendor, bipartite matching) as objects of study.",high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0060,AAAI,2026,KOALA: Knowledge of Optimization and Learning Algorithms for Healthcare,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,Explicitly studies decision-focused learning with optimization as differentiable layer for healthcare decision-making under uncertainty.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0061,AAAI,2026,Learnable Permutation for Structured Sparsity on Transformer Models,OUT,3/3,,OUT;OUT;OUT,"Model pruning/compression machinery; optimization is for training efficiency, not an external decision problem.",high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0062,AAAI,2026,Learning to Compress: Unlocking the Potential of Large Language Models for Text Representation,OUT,3/3,,OUT;OUT;OUT,Representation learning for text embeddings; no optimization or decision problem is the object of the work.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0063,AAAI,2026,Learning to Curate Context: Jointly Optimizing Retrieval and Prediction for Multimodal Social Media Popularity,OUT,3/3,,OUT;OUT;OUT,Popularity prediction is a forecasting task with no downstream optimization or decision problem as the object.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0064,AAAI,2026,Multi-Task Test-time Adaptation via Gradient Consensus and Plasticity Constraint,OUT,3/3,,OUT;OUT;OUT,Test-time adaptation for multi-task learning is model-training machinery; no external decision or optimization problem is the object.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0065,AAAI,2026,Quiet Feature Learning in Algorithmic Tasks,OUT,3/3,,OUT;OUT;OUT,Studies training dynamics and internal representations of language models; no external decision or optimization problem.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0066,AAAI,2026,Rethinking Flow and Diffusion Bridge Models for Speech Enhancement,OUT,3/3,,OUT;OUT;OUT,Speech enhancement is signal processing/generative modeling with no optimization or decision problem as the object.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0067,AAAI,2026,SafeLens: Segment-Level Hate Speech Detection in Online Videos,OUT,3/3,,OUT;OUT;OUT,Content moderation/classification system with no optimization or decision problem as the object of work.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0068,AAAI,2026,Scaling and Transferability of Annealing Strategies in Large Language Model Training,OUT,3/3,,OUT;OUT;OUT,"Learning rate scheduling is model-training machinery (hyperparameter optimization), not an external decision problem.",high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0069,AAAI,2026,Speech Recognition Model Improves Text-to-Speech Synthesis Using Fine-Grained Reward,OUT,3/3,,OUT;OUT;OUT,TTS synthesis optimization is model training machinery; no external decision or combinatorial optimization problem is the object.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0070,AAAI,2026,Split-Layer: Enhancing Implicit Neural Representation by Maximizing the Dimensionality of Feature Space,OUT,3/3,,OUT;OUT;OUT,Work improves neural network architecture for signal representation; no external decision or optimization problem is the object.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0071,AAAI,2026,Uncertainty Quantification for Machine Learning: One Size Does Not Fit All,OUT,3/3,,OUT;OUT;OUT,Focuses on uncertainty quantification methodology for ML models; no optimization or decision problem is the object.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0072,AAAI,2026,Unlocking Efficient Vehicle Dynamics Modeling via Analytic World Models,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,Combines differentiable simulation with learned predictors for planning and decision-making in autonomous driving scenarios.,medium,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0073,AISTATS,2023,Bayesian Optimization with Conformal Prediction Sets,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,Bayesian optimization is a decision-making/optimization problem that is the object of the work with learned predictive components.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0074,AISTATS,2023,Ideal Abstractions for Decision-Focused Learning,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,"Decision-focused learning with downstream decision-making tasks including wildfire management, explicitly addresses utility structure of decisions.",high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0075,AISTATS,2023,Stochastic Methods for AUC Optimization subject to AUC-based Fairness Constraints,OUT,3/3,,OUT;OUT;OUT,AUC optimization is model-training machinery for fair classification; no external decision problem is the object.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0076,AISTATS,2024,Conformal Contextual Robust Optimization,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,Explicitly addresses predict-then-optimize with vehicle routing and decision-making under uncertainty as the object.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0077,AISTATS,2024,DE-HNN: An effective neural model for Circuit Netlist representation,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,Chip design optimization (place-and-route) is a combinatorial decision problem; ML predicts tool outcomes for faster feedback.,medium,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0078,AISTATS,2024,Differentiable Rendering with Reparameterized Volume Sampling,OUT,3/3,,OUT;OUT;OUT,Neural radiance field rendering is computer graphics/vision; no decision or optimization problem is the object.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0079,AISTATS,2024,Explanation-based Training with Differentiable Insertion/Deletion Metric-aware Regularizers,OUT,3/3,,OUT;OUT;OUT,Training machinery for improving explanation faithfulness; no external decision or optimization problem as object.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0080,AISTATS,2024,Functional Graphical Models: Structure Enables Offline Data-Driven Optimization,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,Data-driven optimization is the object; learned models predict performance to guide optimization of designs.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0081,AISTATS,2024,Inconsistency of Cross-Validation for Structure Learning in Gaussian Graphical Models,OUT,3/3,,OUT;OUT;OUT,Statistical model selection and structure learning methodology; no optimization or decision problem as the object.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0082,AISTATS,2024,Online Calibrated and Conformal Prediction Improves Bayesian Optimization,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,"Bayesian optimization is a sequential decision-making/optimization problem that is the object of the work, with learned predictive models in the pipeline.",high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0083,AISTATS,2024,"Think Global, Adapt Local: Learning Locally Adaptive K-Nearest Neighbor Kernel Density Estimators",OUT,3/3,,OUT;OUT;OUT,Pure density estimation method with no downstream decision or optimization problem as the object.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0084,AISTATS,2025,A Convex Relaxation Approach to Generalization Analysis for Parallel Positively Homogeneous Networks,OUT,3/3,,OUT;OUT;OUT,Generalization bounds for neural network training; no external decision or optimization problem as the object.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0085,AISTATS,2025,Differentiable Causal Structure Learning with Identifiability Guarantees by NOTIME,OUT,3/3,,OUT;OUT;OUT,Causal structure learning is the object; no downstream decision/optimization problem beyond DAG discovery itself.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0086,AISTATS,2025,Epistemic Uncertainty and Excess Risk in Variational Inference,OUT,3/3,,OUT;OUT;OUT,Paper analyzes variational inference training machinery and uncertainty metrics; no external decision or optimization problem.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0087,AISTATS,2025,Implicit Diffusion: Efficient optimization through stochastic sampling,OUT,3/3,,OUT;OUT;OUT,Optimization machinery for differentiating through sampling; no external decision problem as the object.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0088,AISTATS,2025,Inverse Optimization with Prediction Market: A Characterization of Scoring Rules for Elciting System States,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,Inverse optimization is a decision/optimization problem; prediction market design involves learned/elicited components in the pipeline.,medium,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0089,AISTATS,2025,Multi-Agent Credit Assignment with Pretrained Language Models,OUT,3/3,,OUT;OUT;OUT,Multi-agent reinforcement learning for task planning; no optimization problem with predicted parameters as the object.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0090,AISTATS,2025,S-CFE: Simple Counterfactual Explanations,OUT,3/3,,OUT;OUT;OUT,"Counterfactual explanation generation is model-interpretation machinery, not an external decision/optimization problem as the object.",high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0091,CPAIOR,2023,"20th International Conference on the Integration of Constraint Programming, Artificial Intelligence, and Operations Research, CPAIOR 2023",OUT,1/1,,OUT,"proceedings front matter, not a paper",high,claude-opus-4-5-20251101,1,4bc0e50d09eb,2026-09-17
SW0092,CPAIOR,2023,Branch & Learn with Post-hoc Correction for Predict+Optimize with Unknown Parameters in Constraints,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,Predict+Optimize with unknown parameters in constraints is explicitly contextual optimization with learned predictions and decision problems.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0093,CPAIOR,2023,Contextual Robust Optimisation with Uncertainty Quantification,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,"Convex optimization with uncertain parameters predicted from side-information, evaluated on portfolio optimization problems.",high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0094,CPAIOR,2023,Predicting Wildlife Trafficking Routes with Differentiable Shortest Paths,CANDIDATE,3/3,,CANDIDATE;CANDIDATE;CANDIDATE,Shortest path optimization is the decision problem; learned model predicts flight likelihoods in same pipeline.,high,claude-opus-4-5-20251101,3,4bc0e50d09eb,2026-09-17
SW0095,CPAIOR,2024,"21st International Conference on the Integration of Constraint Programming, Artificial Intelligence, and Operations Research, CPAIOR 2024",OUT,1/1,,OUT,"proceedings front matter, not a paper",high,claude-opus-4-5-20251101,1,4bc0e50d09eb,2026-09-17
