frame_id,canonical_id,method,bucket,agreement,buckets_all,reason,confidence,title,year,model_id,runs,prompt_hash,run_date
SF0011,SF0011,llm,BACKGROUND,3/3,BACKGROUND;BACKGROUND;BACKGROUND,"Generalized random forests is a general statistical estimation method for heterogeneous treatment effects and conditional quantities, with no downstream decision problem in scope (c).",high,Generalized random forests,2019,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0012,SF0012,llm,BACKGROUND,3/3,BACKGROUND;BACKGROUND;BACKGROUND,"Theoretical work on causal optimal transport in discrete time, a mathematical framework without learned predictions or contextual decision-making applications.",medium,Causal transport in discrete time and applications,2017,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0013,SF0013,llm,BACKGROUND,3/3,BACKGROUND;BACKGROUND;BACKGROUND,"Deep equilibrium models are a general neural network architecture for implicit-depth networks, with no decision or optimization problem as their object. Category (b).",high,Deep equilibrium models,2019,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0014,SF0014,llm,BACKGROUND,3/3,BACKGROUND;BACKGROUND;BACKGROUND,"A general survey on multimodal machine learning (combining vision, language, audio) with no focus on decision problems or optimization under uncertainty. Category (b).",high,Multimodal machine learning: A survey and taxonomy,2019,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0015,SF0015,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Proposes a method for dynamic procurement decisions using covariate information to predict demand, directly addressing contextual/prescriptive optimization in operations.",high,Dynamic procurement of new products with covariate information: The residual tree method,2019,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0016,SF0016,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Proposes machine learning methods for the newsvendor problem with covariates, a core contextual/prescriptive optimization application combining prediction and inventory decisions.",high,The Big Data Newsvendor: Practical Insights from Machine Learning,2019,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0017,SF0017,llm,BACKGROUND,3/3,BACKGROUND;BACKGROUND;BACKGROUND,"A classic statistics textbook on exponential families and information theory, a general statistical reference with no decision problem or contextual optimization content.",high,Information and exponential families: in statistical theory,1978,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0018,SF0018,llm,BORDERLINE,3/3,BORDERLINE;BORDERLINE;BORDERLINE,Distributionally robust facility location with decision-dependent demand; unclear if covariates/predictions are involved or purely sample-based DRO without side information.,medium,Distributionally robust facility location problem under decision-dependent stochastic demand,2021,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0019,SF0019,llm,BACKGROUND,3/3,BACKGROUND;BACKGROUND;BACKGROUND,"Survey of automatic differentiation as a general technique for computing gradients in machine learning, not specific to decision-focused learning or contextual optimization. Category (b).",high,Automatic differentiation in machine learning: a survey,2018,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0020,SF0020,llm,BACKGROUND,3/3,BACKGROUND;BACKGROUND;BACKGROUND,"Classic textbook on linear programming and network flow optimization, a general field reference with no learning or prediction component. Category (a).",high,Linear programming and network flows,2008,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0021,SF0021,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,Portfolio selection using market side information (covariates) with generalization bounds; directly addresses contextual/data-driven optimization with predictions informing decisions.,high,Generalization bounds for regularized portfolio selection with market side information,2020,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0022,SF0022,llm,BORDERLINE,3/3,BORDERLINE;BORDERLINE;BORDERLINE,"A learned solver using RL for combinatorial optimization problems; nothing explicitly predicted from covariates, but the object is decision problems.",high,Neural combinatorial optimization with reinforcement learning,2017,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0023,SF0023,llm,BACKGROUND,3/3,BACKGROUND;BACKGROUND;BACKGROUND,"A foundational textbook on robust optimization as a general field, not specific to contextual or predict-then-optimize methods. Category (a).",high,"Robust optimization, Vol",2009,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0024,SF0024,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Early work on training neural networks with a financial decision criterion rather than prediction accuracy, directly relevant to decision-focused learning foundations.",high,Using a financial training criterion rather than a prediction criterion,1997,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0025,SF0025,llm,BORDERLINE,3/3,BORDERLINE;BORDERLINE;BORDERLINE,Survey of ML for combinatorial optimization covering learned solvers and heuristics; may include predict-then-optimize methods but primarily focuses on learning to solve optimization problems directly.,medium,Machine learning for combinatorial optimization: A methodological tour d’horizon,2021,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0026,SF0026,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Proposes differentiable perturbed optimizers, core machinery for differentiating through optimization problems used in decision-focused learning pipelines.",high,Learning with differentiable perturbed optimizers,2020,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0027,SF0027,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Proposes optimal prescriptive trees for data-driven decision-making with covariates, directly in the prescriptive analytics / contextual optimization area.",high,Optimal prescriptive trees,2019,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0028,SF0028,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,Foundational paper on prescriptive analytics that integrates prediction with optimization decisions using covariates; a core methodological contribution to the contextual optimization area.,high,From predictive to prescriptive analytics,2020,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0029,SF0029,llm,BORDERLINE,3/3,BORDERLINE;BORDERLINE;BORDERLINE,Learns to map problem parameters to optimal solutions (optimization proxies/learned solvers); related to but not clearly within predict-then-optimize with covariates.,medium,The voice of optimization,2021,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0030,SF0030,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,Proposes robust prescriptive analytics methods combining data-driven optimization with contextual/covariate information for decision-making under uncertainty.,high,Bootstrap robust prescriptive analytics,2022,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0031,SF0031,llm,BORDERLINE,3/3,BORDERLINE;BORDERLINE;BORDERLINE,"Data-driven optimization using RKHS for decision-making from data, but unclear from title whether it involves covariates/side information or is sample-based DRO.",medium,Data-driven optimization: A reproducing kernel Hilbert space approach,2022,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0032,SF0032,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Dynamic optimization with side information directly addresses contextual/data-driven optimization where decisions depend on covariates, a core topic of the audit.",high,Dynamic optimization with side information,2023,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0033,SF0033,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Directly studies contextual decision-making under newsvendor loss, analyzing data quality in predict-then-optimize settings with side information.",high,Quality vs,2023,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0034,SF0034,llm,BACKGROUND,3/3,BACKGROUND;BACKGROUND;BACKGROUND,"A foundational textbook on stochastic programming, a general optimization field; cited for context rather than proposing contextual optimization methods.",high,Introduction to stochastic programming,2011,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0035,SF0035,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Differentiable machinery for sorting/ranking operations, which are discrete selection problems; such methods are often used in decision-focused learning pipelines with learned inputs.",high,Fast differentiable sorting and ranking,2020,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0036,SF0036,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Develops Fenchel-Young losses enabling structured prediction with differentiable optimization components, foundational machinery used in decision-focused learning and predict-then-optimize methods.",high,Learning with Fenchel-Young losses,2020,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0037,SF0037,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Implicit differentiation machinery for optimization layers, directly enabling backpropagation through optimization problems used in decision-focused learning pipelines.",high,Efficient and modular implicit differentiation,2022,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0038,SF0038,llm,BACKGROUND,3/3,BACKGROUND;BACKGROUND;BACKGROUND,"A general textbook on graph theory, a foundational mathematical field with no specific focus on contextual optimization or decision-focused learning.",high,"Modern graph theory, Vol",2013,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0039,SF0039,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Develops nonsmooth implicit differentiation machinery for optimization layers in machine learning, directly enabling differentiation through optimization problems used in decision-focused learning.",high,Nonsmooth implicit differentiation for machine-learning and optimization,2021,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0040,SF0040,llm,BACKGROUND,3/3,BACKGROUND;BACKGROUND;BACKGROUND,"Classic textbook on convex optimization fundamentals, a general field reference with no decision-focused or predict-then-optimize content. Category (a).",high,Convex Optimization,2014,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0041,SF0041,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Directly addresses decision-focused predictions using bilevel optimization, a core topic in predict-then-optimize and contextual optimization.",high,Decision-focused predictions via pessimistic bilevel optimization: a computational study,2023,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0042,SF0042,llm,BACKGROUND,3/3,BACKGROUND;BACKGROUND;BACKGROUND,A numerical optimization paper on refining solutions to conic programs; classical optimization algorithm work with no learning or prediction component (e).,high,Solution refinement at regular points of conic problems,2019,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0043,SF0043,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Proposes efficient differentiable quadratic programming layers, which are core machinery for end-to-end learning through optimization problems in decision-focused learning.",high,Efficient differentiable quadratic programming layers: an ADMM approach,2023,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0044,SF0044,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Integrates prediction into portfolio optimization decisions, directly addressing the predict-then-optimize paradigm in a financial application with mean-variance objectives.",high,Integrating prediction in mean-variance portfolio optimization,2023,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0045,SF0045,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"A meta-analysis of data-driven newsvendor approaches directly surveys methods for contextual/feature-based inventory decisions, core to the audit's scope.",high,A meta analysis of data-driven newsvendor approaches,2022,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0046,SF0046,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Directly addresses predict-then-optimize by analyzing 'perils of learning before optimizing,' a core topic in decision-focused learning literature.",high,The perils of learning before optimizing,2022,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0047,SF0047,llm,BACKGROUND,3/3,BACKGROUND;BACKGROUND;BACKGROUND,"A general machine learning method for learning-to-rank in information retrieval, with no decision or optimization problem as its object.",high,Learning to rank: from pairwise approach to listwise approach,2007,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0048,SF0048,llm,BACKGROUND,3/3,BACKGROUND;BACKGROUND;BACKGROUND,Wireless communications paper on antenna port selection with no connection to contextual optimization or predict-then-optimize methods (f).,high,Port selection for fluid antenna systems,2022,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0049,SF0049,llm,BORDERLINE,3/3,BORDERLINE;BORDERLINE;BORDERLINE,"Inverse optimization learns optimization models from observed decisions, related but distinct from predict-then-optimize; whether it overlaps requires full-text review.",high,Inverse optimization: Theory and applications,2021,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0050,SF0050,llm,BORDERLINE,3/3,BORDERLINE;BORDERLINE;BORDERLINE,Distributionally robust regression for learning; data-driven but unclear if covariates inform downstream decisions or if it's pure estimation without decision context.,medium,A robust learning approach for regression models based on distributionally robust optimization,2018,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0051,SF0051,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Proposes a method for selecting optimal decisions using distributionally robust nearest-neighbor regression, directly addressing contextual/data-driven decision-making with side information.",high,Selecting optimal decisions via distributionally robust nearest-neighbor regression,2019,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0052,SF0052,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Proposes differentiable projection for energy optimization with learned predictions, directly applying end-to-end constrained optimization learning to energy systems.",high,Enforcing policy feasibility constraints through differentiable projection for energy optimization,2021,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0053,SF0053,llm,BORDERLINE,3/3,BORDERLINE;BORDERLINE;BORDERLINE,Optimization proxies for economic dispatch; involves learned surrogates for optimization but unclear if predictions from covariates drive decisions or if it's purely a learned solver.,medium,End-to-end feasible optimization proxies for large-scale economic dispatch,2023,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0054,SF0054,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Proposes end-to-end conditional robust optimization, directly combining prediction with robust decision-making under uncertainty—core to contextual optimization.",high,"Chenreddy, A",,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0055,SF0055,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Data-driven conditional robust optimization directly addresses contextual/covariate-dependent robust optimization, a core topic in the contextual optimization area.",high,Data-driven conditional robust optimization,2022,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0056,SF0056,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Data-driven optimization for last-mile delivery is an application of contextual/prescriptive optimization, making decisions (routing/delivery) informed by data-driven predictions.",high,Data-driven optimization for last-mile delivery,2023,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0057,SF0057,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,Explicitly titled 'Decision-aware learning' applied to health supply chains—directly proposes decision-focused methods for optimization under uncertainty with predictions.,high,Decision-aware learning for optimizing health supply chains,2022,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0058,SF0058,llm,BORDERLINE,3/3,BORDERLINE;BORDERLINE;BORDERLINE,Optimal stopping with interpretable policies; likely data-driven decision-making but unclear if predictions from covariates drive decisions or if it's pure policy learning.,medium,Interpretable optimal stopping,2022,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0059,SF0059,llm,BACKGROUND,3/3,BACKGROUND;BACKGROUND;BACKGROUND,"A classic textbook on nonsmooth analysis and optimization theory, a general mathematical field with no learned or predicted components. Category (a).",high,Optimization and nonsmooth analysis,1990,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0060,SF0060,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Dynamic pricing with fairness constraints likely involves making pricing decisions based on predicted demand or customer behavior, fitting contextual optimization applications.",medium,Dynamic pricing with fairness constraints,2021,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0061,SF0061,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Pricing decisions with fairness constraints, likely involving demand prediction for price optimization—a contextual decision-making application in the predict-then-optimize space.",medium,Price discrimination with fairness constraints,2022,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0062,SF0062,llm,BORDERLINE,3/3,BORDERLINE;BORDERLINE;BORDERLINE,"Differentiable patch selection is machinery for discrete selection in vision; unclear if used in decision problems with predictions, needs full-text review.",medium,Differentiable patch selection for image recognition,2021,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0063,SF0063,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Proposes distributionally robust end-to-end portfolio construction, directly combining prediction and optimization in a decision-focused learning framework for finance.",high,Distributionally robust end-to-end portfolio construction,2023,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0064,SF0064,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,End-to-end learning for linear programs in supply chains is core predict-then-optimize / decision-focused learning methodology and application.,high,Endto-end learning via constraint-enforcing approximators for linear programs with applications to supply chains,2022,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0065,SF0065,llm,BACKGROUND,3/3,BACKGROUND;BACKGROUND;BACKGROUND,Universal approximation theorem for neural networks; foundational result in function approximation theory with no decision problem or optimization context (b).,high,Approximation by superpositions of a sigmoidal function,1989,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0066,SF0066,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Proposes a probabilistic approach for learning with combinatorial optimization layers, which is core machinery for integrating optimization into learning pipelines in decision-focused settings.",high,Learning with combinatorial optimization layers: a probabilistic approach,2022,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0067,SF0067,llm,BACKGROUND,3/3,BACKGROUND;BACKGROUND;BACKGROUND,A classical operator splitting algorithm for optimization with no learning or prediction component; general optimization machinery (e).,high,A three-operator splitting scheme and its optimization applications,2017,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0068,SF0068,llm,BORDERLINE,3/3,BORDERLINE;BORDERLINE;BORDERLINE,"Distributionally robust optimization from data using moment constraints, but without covariates or side information; whether contextual aspects appear requires full-text review.",high,Distributionally robust optimization under moment uncertainty with application to data-driven problems,2010,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0069,SF0069,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Directly investigates prediction+optimization (predict-then-optimize) for the knapsack problem, a core topic in decision-focused learning.",high,An investigation into prediction+ optimisation for the knapsack problem,2019,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0070,SF0070,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,A predict-then-optimize paper proposing methods for learning linear functions with ranking objectives; core decision-focused learning work.,high,Predict+ optimise with ranking objectives: Exhaustively learning linear functions,2019,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0071,SF0071,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Proposes a predict+optimise method using dynamic programming, directly addressing decision-focused learning for optimization problems with predictions.",high,Dynamic programming for predict+optimise,2020,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0072,SF0072,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"A position paper explicitly addressing the integration of predictive and prescriptive analytics, directly relevant to the predict-then-optimize and contextual optimization literature.",high,Bridging the gap between predictive and prescriptive analytics-new optimization methodology needed,2016,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0073,SF0073,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Predictive stochastic programming integrates prediction with stochastic optimization decisions, directly addressing contextual optimization where uncertain parameters are learned from data.",high,Predictive stochastic programming,2022,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0074,SF0074,llm,BACKGROUND,3/3,BACKGROUND;BACKGROUND;BACKGROUND,Dijkstra's shortest-path algorithm is a classical graph algorithm with nothing learned or predicted; foundational but not in scope. Category (e).,high,A note on two problems in connexion with graphs,1959,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0075,SF0075,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Proposes end-to-end learning for optimization under uncertainty with fairness considerations, directly addressing predict-then-optimize methodology.",high,End-to-end learning for fair multiobjective optimization under uncertainty,2024,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0076,SF0076,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Proposes learning ranking policies via differentiable optimization, combining prediction with decision-making through differentiable machinery for fairness objectives.",high,Learning fair ranking policies via differentiable optimization of ordered weighted averages,2024,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0077,SF0077,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,Differentiable learning of submodular models is machinery for learning discrete selection structures; such methods are often used in decision problems with learned inputs.,high,Differentiable learning of submodular models,2017,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0078,SF0078,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Optimizes fairness objectives in ranking problems, which involves decision-making (ranking) with learned components; fairness-aware ranking is a decision problem with predictions.",medium,Optimizing generalized gini indices for fairness in rankings,2022,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0079,SF0079,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,Implicit differentiation through optimization is core machinery for decision-focused learning; this foundational work enables backpropagation through argmin layers.,high,Implicit differentiation by perturbation,2010,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0080,SF0080,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Early work on differentiating through optimization for learning, foundational machinery for decision-focused and end-to-end learning approaches.",high,Generic methods for optimization-based modeling,2012,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0081,SF0081,llm,BACKGROUND,3/3,BACKGROUND;BACKGROUND;BACKGROUND,"A monograph on variational analysis and implicit function theory, a general mathematical field with no decision-focused learning content (a).",high,Implicit functions and solution mappings: A view from variational analysis,2009,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0082,SF0082,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,Foundational paper on task-based/decision-focused learning that trains predictive models end-to-end for stochastic optimization tasks; core work in the area.,high,Task-based end-to-end model learning in stochastic optimization,2017,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0083,SF0083,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Donti et al. work on neural network policies with control guarantees, integrating learning with optimization constraints—relevant to end-to-end decision-making under uncertainty.",high,Enforcing robust control guarantees within neural network policies,2021,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0084,SF0084,llm,BACKGROUND,3/3,BACKGROUND;BACKGROUND;BACKGROUND,"A foundational paper on interpretability/explainability in machine learning generally, with no decision-optimization focus; category (f) unrelated field.",high,Towards a rigorous science of interpretable machine learning,2017,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0085,SF0085,llm,BORDERLINE,3/3,BORDERLINE;BORDERLINE;BORDERLINE,"Tutorial on implicit layers and neural ODEs, which are differentiable machinery that may underpin optimization layers in decision problems; relevance to contextual optimization unclear without full review.",medium,"Deep implicit layers tutorial - neural ODEs, deep equilibrium models, and beyond",2020,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0086,SF0086,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Theoretical analysis of generalization bounds specifically for the predict-then-optimize framework, a core topic in contextual optimization.",high,Generalization bounds in the predict-then-optimize framework,2019,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0087,SF0087,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Proposes decision trees specifically designed for the predict-then-optimize framework, directly addressing decision-focused learning methodology.",high,Decision trees for decision-making under the predict-then-optimize framework,2020,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0088,SF0087,inherited,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,"Proposes decision trees specifically designed for the predict-then-optimize framework, directly addressing decision-focused learning methodology.",high,Decision trees for decisionmaking under the predict-then-optimize framework,2020,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
SF0089,SF0089,llm,CANDIDATE,3/3,CANDIDATE;CANDIDATE;CANDIDATE,Foundational paper introducing the Smart Predict-then-Optimize (SPO) framework and SPO+ loss for decision-focused learning; core work in this area.,high,"Smart ‘‘Predict, then Optimize’’",2022,claude-opus-4-5-20251101,3,37b31a8a9812,2026-09-22
