key,authors,venue,year,entry_route,pdf_file,oracle,denominator,aggregation,noise,cross_regime,formula_stated,contaminated,synthetic,in_table1,exclusion_reason,status_note
shah2022lodl,"Shah, Wang, Wilder, Perrault & Tambe",NeurIPS,2022,search,Shah2022_LODL.pdf,LA,ref_policy_regret,unknown,mixed,cross_problem,no,yes,no,yes,,"normalized decision quality; random-prediction reference; formula reconstructed from its anchors. Its two synthetic domains (linear model; web advertising, whose features are a deterministic scramble of the labels) are noiseless, so the qualifying experiment is the real S&P portfolio: synthetic = no. Contamination evidence: the cross-problem reading on p9 (the p10 DQ-to-1 extrapolation sits in the noiseless budget-allocation domain)."
silvestri2023score,Silvestri et al.,JAIR,2026,search,Silvestri2023_ScoreFunctionDFL.pdf,LA,not_stated,unknown,yes,partial,partial,yes,yes,yes,,"re-included 2026-08-31 on experiment Q3 (0-1 knapsack, uncertain objective only, E&G noisy DGP, 'Rel. regret' with denominator never stated); the paper's primary setting is outside scope. PDF is arXiv v3 = JAIR vol 85 (2026)"
tang2024pyepo,Tang & Khalil (PyEPO),MPC,2024,library,TangKhalil2024_PyEPO.pdf,LA,oracle_cost,ratio_of_sums,yes,yes,yes,yes,yes,yes,,library default; sum of |V(y_i)|
tang2024cave,Tang & Khalil (CaVE),CPAIOR,2024,search,TangKhalil2024_CaVE.pdf,LA,oracle_cost,ratio_of_sums,yes,yes,yes,yes,yes,yes,,venue not stated in the PDF
mandi2024decision,"Mandi, Kotary, Berden, Mulamba, Bucarey, Guns & Fioretto",JAIR,2024,library,Mandi2024_JAIRSurveyBenchmark.pdf,LA,per_instance,mean_of_ratios,mixed,yes,yes,yes,yes,yes,,Eq. 3 defines raw look-ahead regret; Eq. 50 reports a mean of ratios
schutte2024robust,"Schutte, Postek & Yorke-Smith",IJCAI,2024,search,Schutte2024_RobustLosses.pdf,LA,not_stated,unknown,mixed,yes,partial,yes,yes,yes,,mean normalized empirical regret; denominator never stated
gupta2024directional,Gupta & Huang,NeurIPS,2024,true-model,GuptaHuang2024_DirectionalGradients.pdf,TM,oracle_cost,ratio_of_sums,yes,yes,yes,no,yes,yes,,our own prior work; true-model oracle (confirmed by the authors); semi-synthetic design including the Fama-French experiment
sadana2025survey,"Sadana, Chenreddy, Delage, Forel, Frejinger & Vidal",EJOR,2025,survey,Sadana2025_ContextualOptimizationSurvey.pdf,LA,none,none,unknown,unknown,yes,,,no,survey; reports no experimental metric,
yang2025dff,Yang et al. (DFF),AAAI,2025,search,Yang2025_DFF.pdf,LA,oracle_cost,ratio_of_sums,mixed,yes,yes,yes,yes,yes,,"contaminated on a sized reduction of a look-ahead-based decision loss (24.37%, p9), NOT on data size: no data-size comparison exists in either the arXiv or the AAAI PDF, and Appendices A-D could not be located"
berden2025solver,"Berden, Mahmutogullari, Tsouros & Guns (LAVA)",NeurIPS,2025,search,Berden2025_LAVA.pdf,LA,achieved_objective,ratio_of_sums,mixed,yes,yes,yes,no,yes,,"re-included 2026-08-31: the multi-dimensional knapsack benchmark uses real California house-price data, so not noiseless throughout; the random-LP and shortest-path benchmarks are synthetic but noiseless, so the qualifying experiment is the real-data knapsack: synthetic = no. The only paper normalizing by the achieved objective; its problem-size scaling study (Fig. 4) is on the knapsack."
rodriguezdiaz2025decision,Rodriguez-Diaz et al. (DGL),NeurIPS,2025,search,RodriguezDiaz2025_DualGuidedSurrogates.pdf,LA,not_stated,unknown,yes,partial,partial,no,yes,yes,,"test relative regret; denominator never stated; conclusions are rankings ('clearly lower regret', 'a modest margin' -- qualitative, borderline)"
mandi2025preprint,Mandi et al.,preprint,2025,search,Mandi2025_MinimizingSurrogateLosses.pdf,LA,per_instance,mean_of_ratios,yes,no,yes,yes,yes,yes,,"normalized relative regret (Eq. 18), per-instance mean of ratios; rankings rest on a mean of ratios"
jeon2025prediction,"Jeon, Bae, Kim, Lee & Kim",preprint,2025,search,Jeon2025_PredictionLossGuided.pdf,LA,ref_policy_regret,unknown,mixed,no,partial,yes,yes,yes,,"R_test / R_worst; worst-case reference (algorithm-dependent for portfolio); interprets the ratio as distance from the best possible outcome in [0,1] (p6) and compares across the 0- vs 500-fake-target DGPs (p7); features simulated as x = Ay so f* is computable in principle"
capitaine2026online,Capitaine et al.,ICLR,2026,search,Capitaine2026_OnlineDFL.pdf,TM,raw,cumulative,yes,yes,yes,yes,yes,no,"online setting; experiments report raw cumulated cost and MSE, no regret (rules 2 and 3)",
lee2026pear,"Lee, Jin & Lee (PEAR)",ICML,2026,search,LeeJinLee2026_PEAR.pdf,LA,oracle_cost,ratio_of_sums,mixed,yes,yes,yes,yes,yes,,"main LP experiments noiseless, sweep 0.1-0.5; normalized regrets above 100% on portfolio"
wan2026solver,Wan & Liu (WISE),ICML,2026,search,WanLiu2026_WISE.pdf,LA,oracle_cost,ratio_of_sums,yes,yes,yes,yes,yes,yes,,Student-t noise in the portfolio; the control where the metric behaves; generator is PyEPO's variant (3.5^-deg scaling); its 'standard Gaussian' sentence misdescribes its own DGPs
benslimane2026online,Benslimane et al.,preprint,2026,search,Benslimane2026_OnPolicyDFL.pdf,LA,raw,sum,yes,partial,yes,,yes,no,online setting reporting cumulative regret over rounds (same rule as capitaine2026online),cumulative regret over t
spitzer2026regret,Spitzer & Sanson,preprint,2026,search,SpitzerSanson2026_SolutionStability.pdf,LA,per_instance,mean_of_ratios,mixed,yes,partial,yes,yes,yes,,"regret as a percentage, never defined in the paper; labelled from the JAIR benchmark default because the code 'is directly derived from' Mandi et al. (2024) and replicates its setup (p10-11); values of 125.57% and 271.14% reported without comment"
jiang2026coefficients,"Jiang, Tian & Wang",ERA,2026,true-model,JiangTianWang2026_CoefficientsPrescriptiveness.pdf,TM,ref_policy_regret,ratio_of_expectations,yes,yes,yes,no,yes,yes,,adjusted coefficient of prescriptiveness; true-model oracle with SAA reference: its cross-problem comparisons are what that oracle licenses
elmachtoub2025stochastic,"Elmachtoub, Lam, Zhang & Zhao",preprint,2025,true-model,ElmachtoubLamZhangZhao2025_StochasticDominance.pdf,TM,none,none,yes,yes,yes,yes,yes,no,nonlinear stochastic optimization; outside the reporting comparison,
niepert2021implicit,"Niepert, Minervini & Franceschi",NeurIPS,2021,library-method,Niepert2021_ImplicitMLE.pdf,none,none,indicators,none,no,no,,yes,no,"noiseless DGP (Warcraft maps with fixed terrain costs, inherited from pogancic2020differentiation); reports percent-optimal, not a regret",I-MLE; evidence pass complete
